ID,A,B,感情
1_23,昨日の忘年会のビンゴで友人が大きなテレビを当てました。,友人の方とてもラッキーでしたね！そのテレビはいくらぐらいするんですか。,羨ましい
1_24,今日ボーナスが入ったので、高級な中華料理屋でたらふく食べましたよ。,贅沢に使いましたね。美味しかったですか？,満足
1_25,昨日大きめな怪我をした上に、今日詐欺に遭ってしまったよ。,とんだ災難だったね。,打ちのめされる
1_26,今日ズボンのチャックが開いたまま大勢の前でスピーチをして、恥ずかしい思いをしたよ。,気づかなかったの？,恥ずかしい
1_27,今朝混んでる電車に息切れをしたおじいさんが乗ってきたから席を譲ったんだ。,それは良いことをしたね。,思いやりを持つ
1_28,若いうちに親を亡くした子供の映画を見て感傷的になった。,そういう映画を見るとわたしも感情移入して泣きそうになる。,感傷的になる
1_29,今度の大きなプロジェクト、賢くて才能のある若手に任せることにしました。,それはすごい決断ですね。どんな子なんですか？,信頼する
1_30,この間雑談中に知ったかぶりしているのがバレちゃった。,どうやってバレたの？,恥じる
1_31,ニュース見た？大型の台風来てるんだって。,ええ、こっちくるの？,懸念する
1_32,仕事でクライアントを怒らせてしまいました。反省することばかりですね。,何か失敗したんですか。,誠実な気持ち
1_33,そういえば聞いた？あの子プロポーズされたらしいよ。,ええっ、そんな気全然なかったよね。,おどろく
1_34,今度ついにあの関東のテーマパーク行くんだ。,へえ、羨ましい。言ったことあるの？,わくわくする
1_35,ホント腹立つ。このあいだ不良品掴まされたんだよね。,ええっ、店に問い合わせはしたの？,怒る
1_36,子どもが夏休みに書いた読書感想文、大賞とっちゃったの。,それはすごいね。なかなか取れるもんじゃないよ。,誇りに思う
1_37,飼ってた犬、ついに死んじゃった。,それは悲しいね。,悲しい
1_38,いつも子どもが部屋を滅茶苦茶にするから部屋が片付かない。,わかる。おもちゃポイポイするよね。,いらいらする
1_39,財布落としちゃったんだけど、戻ってきて良かったよ。,どこで見つかったの？,感謝する
1_40,親友が転校しちゃうんだ。もう簡単に会えなくなるのかあ。,それは寂しいね。いつ引っ越しちゃうの？,さびしい
1_41,昨日、雨降ったよね。,そうなの？？こっちは全く降らなかったよ。,怖い
1_42,暗い道を歩いていたら、物音が聞こえて恐ろしかったよ。,それは、結局なんだったの？,恐ろしい
1_43,友達との約束の日にどうしても行きたいライブがあって。,それで、どうしたの？,うしろめたい
1_44,紅葉を見に行ってきたよ。,どうだった？,感動する
1_45,道を歩いていたら前の人がゴミを投げ捨てたんだよ。,それは、マナーの悪い人がいたね。,嫌悪感を抱く
1_46,テストで100点が取れたんだ。,それは、凄い。,期待する
1_47,明日はいよいよ選抜の発表だね。,自信ある？,自信がある
1_48,弟が買ったばかりの本を破ったんだ。 ,そんなことがあったの？,激怒する
1_49,明日、美術館に連れてって欲しいな,予定があって行けないな。,不安に思う
1_50,来週から、海外旅行なの。,それは楽しみだね。,待ち望む
1_51,明日は遠足だからワクワクしながら準備してます。,遠足はどこに行くのですか？,楽しい
1_52,卒業アルバムで初恋の人を見つけて懐かしくなってしまいました。,告白したんですか？,懐かしい
1_53,万全の準備をしたテストで思ったより得点できませんでした。,何点だったのですか？,がっかりする
1_54,部長に新プロジェクトについて聞きたいと呼び出されました。,勝負どころですね。,心構えする
1_55,同僚が話題の時計を買ったんですよね。,お高いんですか？,羨ましい
1_56,話題になっているレストランに行ったらとてもおいしかったです。,評判通りの味でしたか？,満足
1_57,昨日の野球の試合では5回コールドで負けてしまってがっかりでした。,そんなに強い相手だったんですか？,打ちのめされる
1_58,コンビニでスマホで払おうとしたら残額不足で恥ずかしい思いをしました。,それでどうしたんですか？,恥ずかしい
1_59,駅の階段でベビーカーを押したお母さんの荷物を持ってあげました。,それはいいことをしましたね。,思いやりを持つ
1_60,子を思う母の気持ちがよく出ている映画で、今思い出してもグッときちゃいます。,いい映画だったんですね。,感傷的になる
1_61,今度手術することになりました。,大変ですね。心配なことはありますか。,信頼する
1_62,先方との会議に遅れてしましました。,それは失敗してしまいましたね。大丈夫でしたか。,恥じる
1_63,大型の台風が近づいていますね。,最近の台風は勢力が大きくて、災害が心配ですよね。,懸念する
1_64,この前、お客様から当社の製品に対しての、クレームがあったんですけど。,大変でしたね。どうなりましたか。,誠実な気持ち
1_65,昨日、私の誕生日だったんです。娘がケーキを買ってきてくれました。,おめでとうございます。どんなケーキだったんですか。,おどろく
1_66,今日の夕ご飯は、ハンバーグなんだって。,どんなハンバーグが好きなの。,わくわくする
1_67,私が買っておいたちょっとお高いプリンを、旦那が食べちゃったんですよ。,それはひどいですね。旦那さんは勝手に食べちゃったんですか。,怒る
1_68,この度、会社の研究が名誉ある賞を受賞しました。,おめでとうございます。ずいぶん研究されていたんですか。,誇りに思う
1_69,修学旅行が、中止になってしまいました。,残念ですね。学校生活の中でも一大イベントですよね。,悲しい
1_70,このゲーム、中ボスが強くてなかなか勝てないんですよ。,勝てないと先へ進めませんよね。大変ですね。,いらいらする
1_71,昨日体調が悪くて寝込んでいたら、なんと娘が夕食を作ってくれたんですよ！,まぁ、とってもいい娘さんですね！ありがたいですよね！,感謝する
1_72,先月、彼氏が異動になって、飛行機の距離の遠距離恋愛になってしまったの。,飛行機の距離は遠いわね。月何回ぐらい会える感じなのかな？,さびしい
1_73,さっきまでホラー映画を見てたんだけど、内容が凄すぎて一人で寝るのが怖くなっちゃった！,ホラー映画好きのあなたがそんなに怖がるなんて、よっぽど凄い内容だったのね！,怖い
1_74,昨夜とっても恐ろしい夢を見たの。なんと歯が全部抜ける夢！,それは、とても恐ろしい夢だね！起きたとき、焦ったでしょ？,恐ろしい
1_75,今日ホントは友達と出かける予定だったんだけど、気分が乗らなくてドタキャンしちゃったんだ。,まあ、そういう日もあるわよね！お友達には、なんて言い訳したの？,うしろめたい
1_76,今日とっても感動する映画を観たの！,どんな映画だったの？気になるわ！,感動する
1_77,先週末、友達に紹介してもらった方とデートしたんだけど、とんでもない性格の人だったわ！,どんな性格の人だったの？,嫌悪感を抱く
1_78,もうすぐ私の誕生日なの！彼氏からのプレゼントはいつもセンスがいいから、今年も期待しちゃうわ！,彼氏さん、センスがいいんだね！これまでにどんなものをもらったの？,期待する
1_79,来週日曜日にピアノの発表会があるんだけど、空いてる？,空いてるわよ、ぜひ行かせていただくわ！自信はどうなの？,自信がある
1_80,今日先輩に一方的に責められたの！後輩にも悪いところがあったのに！,両方の言い分を聞いてほしいよね！,激怒する
1_81,最近あなたの会社、売り上げはどうですか？,私の会社は以前と変わりませんよ,不安に思う
1_82,最近景気悪いですよねえ。,そうですよね、落ち込んだままですね。,待ち望む
1_83,昨日久しぶりに学生時代の友人に会ったんです。,そうなんですか、良かったですね。,楽しい
1_84,最近昔のドラマをよく見るんです。,私もです。ＢＳチャンネルでよく流れてますね。,懐かしい
1_85,昨日友人に勧められた話題の映画を見ました。,どうでしたか？評判良いですよね。,がっかりする
1_86,今週末は台風が直撃するみたいですね。,そうなんですか、大変だ！,心構えする
1_87,昨日友人の新居に招待されたんです。,どんな感じでしたか？,羨ましい
1_88,テストの結果が良かったんです、頑張って良かった！,結果が良かったんですね、おめでとう。,満足
1_89,ちょっとショックです。,どうしたんですか？,打ちのめされる
1_90,ああどうしよう！,どうしたんですか？,恥ずかしい
1_91,この間、目の不自由な人が自転車で歩道通れなくて困ってるの見たんだ。,それって駅前の歩道？　あそこ自転車の多いもんね。それでどうしたの？,思いやりを持つ
1_92,昨日してたTV番組で、思い出の曲が流れてきてついほろっと涙出ちゃった。,なになに？　青春時代の淡くほろ苦い恋の記憶とか思い出しちゃった？,感傷的になる
1_93,今度私の店の経営を友人に任せようと思うんだ。,え？ 大丈夫？ それってあなたが頑張って初めて出したお店でしょ？,信頼する
1_94,この前の週末電気屋さんでパソコン見てたんだけど、店員とお客さん間違えて声かけちゃってめっちゃ恥ずかしかった。,なにそれ、お笑いのネタ？,恥じる
1_95,今度のプレゼン上手くいくか正直不安なんだよね。,あ～、あのプロジェクトには社運もかかってるって言われてるしね。何が心配なの？,懸念する
1_96,昨日さ、違う課の子に付き合ってって言われたんだよね。,マジでっ？　それでどう答えたんだよ。,誠実な気持ち
1_97,先月の私の誕生日にさ、営業部のみんながケーキ買って祝ってくれたの！,へぇ！　いい職場だね。,おどろく
1_98,明日から新学期だから、今からわくわくしてるんだ。,わかる～。クラス分けとかどうなるかな？,わくわくする
1_99,ちょっと聞いてよ～。彼氏と待ち合わせしてたんだけど、時間になっても来ないから電話したらやっぱりいけないって言われた。,何それ！　ドタキャンされたの？,怒る
1_100,先日、うちの子が学校の帰りに体調悪くて座り込んでたおじいさんを助けて表彰されたんだ。,それはすごいわね！　しっかりしたお子さんなのね。,誇りに思う
1_101,宝くじに外れて悲しい,そうなんだね。買うと期待しちゃうもんね。,悲しい
1_102,せっかく作った料理を子供に残されてイライラする。,子育てイライラのあるあるだよね。,いらいらする
1_103,車に乗せてくれて本当にありがとうございました。,いえいえ、帰り道が一緒の方向だから気にしないでください。,感謝する
1_104,彼氏と会えなくて寂しいわ。,前会ったのいつ？,さびしい
1_105,心霊番組を見てからお風呂に入るのが怖いんだよね,それは怖いね。顔洗っているときとか特にさ。,怖い
1_106,今月のクレジットカードの支払いが恐ろしいよ。,そんなに使ったの？,恐ろしい
1_107,友達の好きな人と付き合うことになって後ろめたさがある。,そうなんだね。でもよくあることじゃない？,うしろめたい
1_108,久しぶりに映画を見たら感動しちゃったよ。,そうなんだね。どんな映画だったの？,感動する
1_109,ママ友が不倫してて嫌悪感を抱いてしまった。,本気なのかね？,嫌悪感を抱く
1_110,明日のボーナスいくらか期待しちゃう！,アップしそうなの？,期待する
1_111,今日の数学のテスト、全部分かったから自信があるよ。,難しい問題があったのに、すごいね！,自信がある
1_112,1週間かかってパズルを完成させたんだけど、それを家族に崩されちゃった。,それは災難だったね。,激怒する
1_113,うちの会社、業績が悪化してきてて、残業しないように言われたんだ。,今はどこも大変みたいだよ、うちの会社もそうなんだ。,不安に思う
1_114,最近ずっとやってるゲームが面白くって、続編が出ることを待ち望んでる！,随分と熱中してるみたいね。,待ち望む
1_115,この前の日曜日に、久しぶりのドライブに行ってきたよ。,それはいいね。,楽しい
1_116,昨日、学校の前を通ったら10年前と全然変わってなくて、懐かしかった。,もう10年になるんだ。,懐かしい
1_117,今年の初詣で引いたおみくじが、大凶だったからがっかりしたんだよね。,おみくじの結果は気になるもんね。,がっかりする
1_118,明日は朝から大事な商談があるから緊張するよ。,準備は出来てるの。,心構えする
1_119,最近、美味しいお菓子やケーキをお土産でもらうんだけど、少し食べるとすぐ太っちゃう。,甘いものって、つい食べちゃうよね。,羨ましい
1_120,今日はシュークリームを買って帰ったから、さっき食べてたんだ。,どんなシュークリームなの。,満足
1_121,洋菓子のコンテストに出たら、ライバルと思ってる人も出ててさ。,そう、それで。,打ちのめされる
1_122,正面から歩いてくる人がさ、知り合いに見えて手を振りつつ声をかけたんだよね。,声かけたんだ。,恥ずかしい
1_123,歩道に、カマキリがいてね。踏みそうになっちゃって。,危なかったね。,思いやりを持つ
1_124,押し入れを整理してたら、古いアルバムが出てきてさ。,アルバムか。,感傷的になる
1_125,文化祭の運営は、生徒に任せることにしたんだ。教師は頼まれた時だけ、手を貸すよ。,そうなんだ。,信頼する
1_126,知らないIT用語が話に出たんだけど、知っているふりをして聞いていたんだよね。,知っているふり。,恥じる
1_127,来週の月曜日に、監査があるんですよ。,監査か、大変ですね。,懸念する
1_128,子供って、自分を見てくれているか、敏感に感じとるんだよね。,そうなんだね。,誠実な気持ち
1_129,ベランダにセミが落ちてたんだよね、お腹を上にしてるから死んでると思ったんだけど。,そんな、季節だね。,おどろく
1_130,遊園地に行くんだ。世界一のジェットコースターがあるんだって。,遊園地か、いいな。,わくわくする
1_131,旦那に録画してあった映画を消されちゃった,それはひどいね、ちゃんと消さないように言ってたの?,怒る
1_132,訊いてくれる、父が直木賞候補になったの,それって凄いことだよね,誇りに思う
1_133,なんだか甲殻アレルギーを発症してしまったみたいです,アレルギーは突然発症することがあるから怖いよね,悲しい
1_134,PCキーボードのナンバーズロックって何のためにあるんだろう?,いつの間にか打ってて、数字が打てなくなっているよね,いらいらする
1_135,帰る方向が一緒の同僚がいつも送ってくれます、感謝してます,助かりますね,感謝する
1_136,コロナが落ち着かないし、お年寄りと一緒に住んでいる友達もいるからなかなか会えません,そういう人が多いんでしょうね,さびしい
1_137,事故物件サイトは怖いけど見ちゃう、うちの周りはないかな?とか,一棟のマンションにたくさん炎マークが燃えてるとぞわぞわするよね,怖い
1_138,カードの支払いをリボ払いにしてたんだよね,一定の金額返済し続けるんだよね?,恐ろしい
1_139,今日は休みだったから友達と会って、ちょっと豪華なランチを頂きました,良かったね、旦那さんはお留守番?,うしろめたい
1_140,ライブエイドのフレディは何度観ても感動して泣けるね,みんな、クィーンが大好きなんだってわかるよね,感動する
1_141,テスト中にカンニングを見てしまった。,えっ！そうなの。,嫌悪感を抱く
1_142,なんか、おいしそうな香りが台所から漂ってきた。,うーん、いいわね。どんな香り？,期待する
1_143,今日は夕焼けが綺麗でしたよ。,そうでしたか。,自信がある
1_144,親が不在の時に、子どもが友達を家に呼んで遊んでいたんですよ。,親がいないときは、友達呼んじゃダメという約束だったんですか？,激怒する
1_145,息子の塾が、追加で授業を取っていく方式なんです。その度に授業料を支払いに行かなければならなくて。,息子さん、塾行っているのね。受験生なの？,不安に思う
1_146,イクラをお取り寄せしたんです。明日届くんですって。,いいですね。お取り寄せしたんですか。,待ち望む
1_147,ジムに通い始めてから、体が軽くなった気がします。,運動の効果がでてきたんですかね。,楽しい
1_148,押し入れを片付けていたら、昔子どもの使い残したおむつが出てきたんですよ。,お子さんは大きいんですか？,懐かしい
1_149,この間ショッピングセンターに行ったんですけど、改装中で閉まってました。,せっかく言ったのに、残念でしたね。,がっかりする
1_150,7ヶ月の息子が、はいはいで家の中を動き回るようになったのよ。,そうなんだ。これからたいへんだね。,心構えする
1_151,友達が宝くじに当たったんだよ。,どれくらいの額だったんだろうね。,羨ましい
1_152,お母さんの誕生日にクリームコロッケを作ったんだ！,あれって、作るの大変だよね。,満足
1_153,小学校から仲良くしている友達が彼女に振られてものすごく落ち込んでいてね。,特に別れたばかりの頃ってかける言葉もないよね。,打ちのめされる
1_154,この前、電車に乗っていたら知らない人に話しかけられて、ワンピースを前後逆さに着ていたことを教えてもらったのよ。,急いでいると突拍子もないことする時あるよね。,恥ずかしい
1_155,この前、券売機の前で困っているご異国の人に声を掛けたら、全く言葉が通じなくて焦ったよ。,外国の人多いもんね、最近。,思いやりを持つ
1_156,愛犬が14歳で死んじゃってね。,えー、もの凄く可愛がっていたからショックだったでしょ。,感傷的になる
1_157,いよいよ独り暮らしが始まるけれど、生活費は必要なだけ使いなさい。わたし名義のカードを渡すね。,え、本当に！父さんにも感謝しないといけないね。,信頼する
1_158,韓国に行った時にお年寄りから第二次世界大戦について日本語で話しかけられてさ。,え、日本語話せる人だったんだ！,恥じる
1_159,転職活動しているんだけど、この前、締め切りぎりぎりで郵便を送ってさ。,期日に間に合うかドキドキするよね。,懸念する
1_160,ランチの時に気晴らしに公園でお弁当を食べるためにベンチを探してたら大きなカバンの口が開いたまま放置してあってね。中を見たら札束があってびっくりしたよ。,えー、近くに持ち主いなかったの？,誠実な気持ち
1_161,先日、友人に誕生日のお祝いをしてもらいました。,それはおめでとう！良かったですね。,おどろく
1_162,もうすぐ、鬼滅の刃の映画が公開されます。,知らなかった。そうなのですね。,わくわくする
1_163,今日はどうして遅刻をしてしまったの？,申し訳ありません、昨日夜更かしをしたせいで寝坊をしました。,怒る
1_164,先日、長女がダンスの大会で入賞したんですよ。,それはおめでとう！,誇りに思う
1_165,先日、買っていた犬がなくなりました。,それはたいへんでしたね。,悲しい
1_166,先日、食事中に魚の骨がのどに刺さってしまいました。,そういうのってなかなかとれないですよね。,いらいらする
1_167,先週、風邪をひいて寝込んでいたんです。,もう大丈夫なのですか。,感謝する
1_168,去年のクリスマスも一人でした。,それはさびしいですね。,さびしい
1_169,昨夜は雷が鳴っていましたね。,そうですね、近くに落ちたみたいです。,怖い
1_170,今の年金制度は本当に大丈夫なのかと、心配です。,将来のことはわかりませんが、良い方向に行くといいですね。,恐ろしい
1_171,しまってあったワインを、一人でこっそり飲んでしまいました。,そのワインは誰がしまっておいたの？,うしろめたい
1_172,テレビを観ていたら、ちょっと感動したんですよね。,へーっ、どんな番組だったの？,感動する
1_173,だらしない男性は嫌いなんですけど、この間もイヤな人を見かけました。,どんな感じの人だったの？,嫌悪感を抱く
1_174,老後の心配は尽きないね。,そうだよね。お金のこととか、健康のこととか。,期待する
1_175,ダイエットのために、ジムに通い始めたの。,そうなんだ。,自信がある
1_176,また、学校に遅刻したよ、うちの息子！,まあ、息子さん遅刻が多いの？,激怒する
1_177,大型の台風が来るらしいね。,そうらしいね。,不安に思う
1_178,コロナがなかなか収束しないね。,そうだね。,待ち望む
1_179,ガラケーをついにスマホに替えました！,やった！,楽しい
1_180,テレビで懐かしい風景を見たの。小さい頃に行った祖父母の田舎とそっくりだった。,へー。もしかして、田舎と同じ場所だったんじゃない？,懐かしい
1_181,テストの結果が出たけど、不合格だった。,それは残念だったね。,がっかりする
1_182,今日、初めての試合に出なきゃいけないの。,頑張って。,心構えする
1_183,私の友人が新築で家を建てたの。,そうなんだ。,羨ましい
1_184,今日は、会社の５０周年記念でバーベキューをするはずだったけど、コロナのせいでお弁当になっちゃった。,それは残念ね。,満足
1_185,今日、剣道の試合があったの。,結果はどうだった。,打ちのめされる
1_186,今日、仕事で接客中にズボンのボタンが取れちゃってね。,それでどうしたの?,恥ずかしい
1_187,上司に怒られて落ち込んでた後輩がいたから慰めてあげたの。,優しいね。,思いやりを持つ
1_188,以前に見た映画を見てたら、当時のことを思い出してちょっと感傷的になっちゃった。,そういうことってあるよね。,感傷的になる
1_189,職場にね、すごく話しやすい先輩がいて何でも相談できるの。,いいねぇ。,信頼する
1_190,自分が悪いってわかっていも素直に謝れない時があるの。,私もそういうことあるよ。,恥じる
1_191,そろそろインフルエンザが流行ってきましたね。,そうですね、予防接種の時期でもありますね。,懸念する
1_192,ぼく、彼女と結婚しようと思ってます。どうやってその思いを伝えようか悩みます。,そうなんですね、おめでとうございます。正直に伝えたらどうでしょうか。,誠実な気持ち
1_193,こんにちは、久しぶりですね。背が伸びましたね。,本当に久しぶり、10年ぶりくらいですね。この1年で5センチ伸びたんです。,おどろく
1_194,来年、沖縄旅行に行くんです。,そうなんですね、良いですねえ。,わくわくする
1_195,うちの子小3なんだけど、この間、私に黙って友だちと遠出してたの。,え、どこまで行ったの。,怒る
1_196,実は、うちの娘、今年の春まで受験生だったんですよ。,そうなんですね、どちらの学校へ行かれるんですか。,誇りに思う
1_197,今度の春に彼と結婚する予定だったんだけど、彼の仕事の都合でだめになっちゃったんです。,それはまたどうして。彼はどんなお仕事されてるんでした？,悲しい
1_198,最近、年のせいかしら、毎日腰や肩が痛かったりするんです。,更年期ってやつですかね、私もたまにありますよ。,いらいらする
1_199,この間、通勤途中の駅で高校生が目の前で倒れたんですよ。,目の前で？それでどうされたんですか。,感謝する
1_200,彼からの電話が急に来なくなったんです。,ええ？忙しいとかではなくて？,さびしい
1_201,先日、資格試験を受けて、結果がきょう郵送されてきたんです。,そうなんですか。結果はどうでした？,怖い
1_202,昨日、未解決事件の番組を見たら、怖くなっちゃいました。,分かります。なんか、ぞっとしますよね。,恐ろしい
1_203,参考書を買うとき、いつも母親からお金をもらうんですけど、この前はうそをついて実際より多めに請求してしまいました。,わー。それは駄目じゃないかなあ。,うしろめたい
1_204,この前、電気屋に行ったとき、高級なイヤホンを視聴しました。,すっごく高いのあるよね。どんな感じだった？,感動する
1_205,店員さんに対してタメ口で話す人ってなんなんでしょうね。,そういう人、いるよね。おじさんとかに多い気がする。,嫌悪感を抱く
1_206,純金積立をしているんですが、この前、金の価格が1g7000円を超えたんです！過去最高額ですよ！,すごいですね！もうけが出てるってことですよね？,期待する
1_207,結構いい年で独身なんですけど、これからも結婚しようとは思ってませんね。,そうなんですか？寂しくないんですか？,自信がある
1_208,義母が勝手に子どもの写真をSNSに上げてたんです！,えっ？！顔丸出しで？スタンプとかもせずに？,激怒する
1_209,最近バイトに入りすぎて、大学サボり過ぎなんですよね。,えっ、それは駄目でしょ。学生なんだから学校行かないと。,不安に思う
1_210,絶版になった漫画でどうしても読みたいのがあるんです。,あら。そういうのは古本屋さんを巡ったりしないとないのかな。,待ち望む
1_211,自粛生活解除後、久しぶりに家族でお出かけしました。,楽しかったですか？,楽しい
1_212,子供の頃の写真って時代を感じさせますね。,昔の写真を見ているのですね。,懐かしい
1_213,前澤さんのツイッターフォローしたら１０万円当たる懸賞、また外れました。,そうなんですね。それは残念です。,がっかりする
1_214,明日には台風が関西を通過しそうですね。,雨や風がひどくなるのでしょうか？,心構えする
1_215,幼なじみが恰好いいIT系の社長と結婚することになりました。,素敵なお話ですね。お友達が幸せになってくれたらいいですね。,羨ましい
1_216,今日はお腹いっぱい串カツを食べてきました。,良かったですね。美味しかったですか？,満足
1_217,ダイエット失敗したことを友達に話しました。,そうなんですね。お友達はなにか言ってましたか？,打ちのめされる
1_218,今日、薬もらいに病院行ってきたんだけど、自分の番がなかなか来なかったんです。,そうなんですね！それは大変でしたね。混雑していたのですか？,恥ずかしい
1_219,今日満員電車でマタニティマークに気がついて席を譲ってあげました。,そうなんですね。譲ってもらった方はきっと嬉しかったでしょうね。,思いやりを持つ
1_220,ツタヤに行ったら、たまたまタイタニックの主題歌が流れていました。,すごく流行りましたよね。,感傷的になる
1_221,結婚式のスピーチを親友にお願いしました。,どうしてその人に頼んだのですか？,信頼する
1_222,この間買い物に行ったら財布を忘れていました。会計時に気づきとても恥ずかしかったです。,バッグに入っているだろうと確認せずに出掛けると何かしら忘れてたりしますよね。,恥じる
1_223,もうすぐ試験があるので合格できるように猛勉強しています。,合格できるよう応援してますね！,懸念する
1_224,転職のため退職することになりました。,そうなのですね。退職まであとどのくらいありますか？,誠実な気持ち
1_225,この間近所を散歩していたら急に知らない人に話かけられて驚きました。,なんで話かけられたんですか？,おどろく
1_226,久しぶりに遊園地に行くことになりました。,いつ行くんですか？,わくわくする
1_227,運転中、急に割り込みをされました。,それは危なかったですね。大丈夫でしたか？,怒る
1_228,子供が昔からの夢だった弁護士になりました。,おめでとうございます！すごいですね。,誇りに思う
1_229,会社の友人が違う事業所に異動になってしまい悲しいです。,ご友人の異動先は遠いのですか？,悲しい
1_230,通販で買った商品が不良品でした。,お店には連絡しましたか？,いらいらする
1_231,この前、試験の日に筆記用具を忘れて困りました。,無事に試験は受けられたのですか？,感謝する
1_232,この度大学生になり、一人暮らしをすることになりました。,一人暮らしをするのは初めてですか？,さびしい
1_233,さっき一人でホラー映画を見てしまいました。,ホラー映画は苦手ですか？,怖い
1_234,いつも私が通っている道で事件が起こったみたいです。,それは怖いですね。,恐ろしい
1_235,好きな人から告白されて付き合うことになりました。,おめでとうございます！よかったですね。,うしろめたい
1_236,先週、初めて生でミュージカルを見ました。,どうでしたか？,感動する
1_237,信頼していた上司の嫌な一面を見てしまいました。,何があったんですか？,嫌悪感を抱く
1_238,明日は誕生日なのでプロポーズされるのではないかと期待しています。,お誕生日おめでとうございます。付き合ってどのくらいなんですか？,期待する
1_239,明日はこの前受けた資格試験の合格発表の日です。,自信はありますか？,自信がある
1_240,友達からお金を貸してほしいと言われたので10万円貸してあげたんです。,そのお金は返ってきましたか？,激怒する
1_241,明日は高校の合格発表なんです。,そうなんですか。不安ですか？,不安に思う
1_242,好きな漫画が休載してしまいました。,それは悲しいですね。いつ頃再開するのですか？,待ち望む
1_243,新発売されたゲームを買ったんですよ。,いいですね。楽しいですか？,楽しい
1_244,部屋の掃除をしていたら昔のアルバムが出てきたんです。,中を見てみましたか？,懐かしい
1_245,新商品のカップラーメンを食べましたか？,いいえ、食べていません。どうでしたか？,がっかりする
1_246,明日は大切な面接があるんです。,それは大変ですね。頑張ってください。,心構えする
1_247,お隣さんが沖縄に旅行へ行ったんですよ。,沖縄旅行いいですね。,羨ましい
1_248,誕生日にはケーキやお寿司をおなか一杯食べました。,おいしそうですね。どうでしたか？,満足
1_249,テストの結果が良くありませんでした。,そんなによくなかったのですか？,打ちのめされる
1_250,このまえ鼻歌を歌いながら歩いていたら、他の人に聞かれてしまったんです。,それは恥ずかしいですね。,恥ずかしい
1_251,同じクラスの子が、最近あまり学校に来ていません。前は楽しく来ていたと思うのですが。,同じクラスだと、心配になりますね。,思いやりを持つ
1_252,紅葉がキレイな季節って、冬に向かっていく中で少し寂しい気持ちになりますね。,何か思い出でもあるんですか？,感傷的になる
1_253,中学校から仲良くしている親友がいます。困ったことがあると、真っ先にその親友に相談してしまいます。,中学校からだと、もうずいぶん長い関係ですね。,信頼する
1_254,電車に乗っていたら足の不自由な雰囲気の老人が乗ってきて、わたしの隣の席の人が席を譲ったんです。,それは少し気まずい気持ちになりますね。,恥じる
1_255,取引先から今後の付き合いを断られたのですが、ひょっとして自分に問題があったのではないかと心配です。,取引を打ち切られるのって、かなり衝撃がありますよね。,懸念する
1_256,デパートのトイレの個室に入ったら、忘れ物のカバンがあったんです。,トイレって、忘れ物しやすい場所ですよね。,誠実な気持ち
1_257,ハロウィンの時に仕事から帰ったら、ものすごく驚いたことがあります。,最近は仮装も派手で面白いですよね。,おどろく
1_258,子どもが年長さんの最後の運動会に行ってきました。,幼稚園最後の運動会ですか。それは楽しいですね。,わくわくする
1_259,疲れて仕事から家に帰ったら、部屋の中がびっくりするほど散らかされていました。,一体それはどういうことでしょうか？,怒る
