ID,A,B,感情,対話行為
1_513,子どもって、びっくりするほど成長が早い！1年ぶりに実家に行ったら、甥っ子がでっかくなってた。,甥っ子かあ。1年でどのぐらい大きくなってたの？,おどろく,自己開示
1_545,昨日の夜、外で大きな破裂音がバンって聞こえたんだよね。めっちゃビックリしたよ！,え、破裂音？わたしは気がつかなかったなぁ。何の音だろう？,おどろく,質問(YesNo)
1_577,さっき、心臓止まるかと思ったよ！めっちゃビックリした！,え？どうしたの？,おどろく,質問(What)
1_609,ちょっと聞いてよー！母親が、急にうちに泊まりに来たんだけどー！,え、お母さん、近くに住んでたんだっけ？,おどろく,質問(YesNo)
1_641,水を飲もうと思ったときに、ゴキブリが出てきて心臓飛び出るかと思った。,うわあ、気持ち悪い。虫は大丈夫なの？,おどろく,自己開示
1_673,昨日夜中に地震があって飛び起きたよ。,大丈夫だった？結構揺れたの？,おどろく,質問(YesNo)
1_705,朝起きたとき、出かける時間をとっくにすぎていたから慌てて家を出てきたよ。,そうなんだ。時計見てどう思った？,おどろく,あいづち
1_737,ニュースの速報であの大好きな芸能人が亡くなったって聞いて、本当にびっくりした。,何歳くらいの人だったの？,おどろく,質問(What)
1_769,隣に引っ越しのトラックが止まっていたけれど、まさか知り合いが引っ越してくるなんて。,それはびっくりですね。偶然ですか？,おどろく,自己開示
1_801,母親から受け継いだダイヤが実は合成ダイヤでおどろいたよ。,それはショックだね。なんでわかったの？,おどろく,自己開示
1_833,久し振り会った友達が驚くほど綺麗になってたよ,何か有ったのかな?恋でもしてるとか,おどろく,質問(YesNo)
1_865,今日の朝、上司が別人になってた、皆、驚いて固まっちゃってた,何があったの?,おどろく,質問(What)
1_897,ヤフーでキース・エマーソンの死因を調べたら自殺だったよ、驚いた,何か悩んでいたのでしょうか?,おどろく,質問(YesNo)
1_929,しぱらく家を空けてて帰ってみたら、家の周り草だらけでジャングルみたいになってた,草刈り大変そう,おどろく,自己開示
1_961,この間宅配便を頼んだら配達員が中学校の同級生だった。,それはすごい偶然だね。びっくりしたでしょう。,おどろく,自己開示
1_993,さっき友人が背後から突然現れて驚きました。,それはびっくりしますよね。,おどろく,自己開示
1_1025,ずっと年下だと思ってた女優さん、私より5歳も上だったんだけど！,女優さんはケアしてるから、若く見えるよね。,おどろく,自己開示
1_1057,もう、10月なんだよね。さっきカレンダー見て、びっくりしちゃった。,早いですよね。今年、あと2カ月しかないですよ。,おどろく,自己開示
1_1089,私、ここへ来る途中で車に轢かれそうになってしまいました。,大変でしたね、怪我はありませんか？,おどろく,質問(YesNo)
1_1121,応募していた懸賞に当選して鍋が当たったんです！,良かったですね。,おどろく,応答(平叙)
1_1153,数十年会っていなかった知人に町でばったり会ったんですよ。,え、そんなことがあるんですね。,おどろく,自己開示
1_1185,先日友達とランチをしたのですが、最後にバースディケーキが出てきてびっくりしました。,誰の誕生日だったんですか？,おどろく,質問(What)
1_1217,仲の良い友達の家に遊びに行った時、ご主人が子どものお世話をせっせとしているのを見てびっくりしました。,いわゆる育メンのような男性なのでしょうか。,おどろく,質問(YesNo)
1_1249,わたしは虫が大の苦手なのに息子は虫好きで、小さい頃から驚くようなことばかりしてきます。,虫が苦手な人からすると、大変ですね。,おどろく,自己開示
1_1281,さっきペットの犬に手を噛まれてしまいました。,大丈夫ですか？怪我はしなかったですか？,おどろく,質問(YesNo)
1_1313,応援していた俳優さんが亡くなったって朝から衝撃的なニュースで完全に目覚めました。,朝からびっくりするようなニュースですね。,おどろく,自己開示
1_1345,父が車にはねられて入院したと母から連絡がありました。,お父さんは大丈夫ですか？,おどろく,質問(YesNo)
1_1377,先日観た舞台の準主役の役者さんが、演技力、歌唱力ともに素晴らしかったんだけど、なんと年齢が18歳という若さだったの！,そんなに若いのに、演技も歌もすごかったんだね。,おどろく,応答(平叙)
1_1409,この前、自死した女優さんがいたでしょ？享年何歳って報道されて、初めて、その人の実年齢を知ったよ。,女優さんの年齢って、普段は気にしないもんね。,おどろく,応答(平叙)
1_1441,うちの体重計、もしかしたら壊れてるのかも。いや、そんなことないか。,体重計、うまく動かないの？,おどろく,質問(YesNo)
1_1473,この数年、占いの情報を集めてるんだけど、コロナ流行の予言が、あちこちの占いに出てたんだよ。,えっ、そうだったの？,おどろく,質問(YesNo)
1_1505,わお、ワイシャツがピンクになっちゃった！初めてだわ、こんなこと。,え？どうしてそんなことになっちゃったの？,おどろく,質問(What)
1_1537,期末テストの結果が返ってきたよ！,お、結果、どうたったのかな？,おどろく,質問(What)
1_1569,自分より年下だと思っていた人が実は10歳も年上だったのでびっくりしちゃいました。,10歳も年上！どこで出会った方なんですか？,おどろく,質問(What)
1_1601,昨日、いきなりピンポンが鳴って、ドアを開けたら義母がいました。,えっ、いきなり？アポなしで？,おどろく,確認
1_1633,今、うちの近くのドッグストアの向かいにドラッグストアが建設中なの！,え？目の前にあるのに建てるんですか？客側としては足りてますよね。,おどろく,質問(What)
1_1665,昨日街灯のない夜道を歩いてたんです。,最近は暗くなるのが早いしね、どうしました。,おどろく,質問(What)
1_1697,知ってる？ハイターってもの凄い漂白力が強いの。,使ったことないから分かんないや。,おどろく,応答(平叙)
1_1729,散歩していたら、突然犬が吠えてきたので腰を抜かしました。,級に来られると怖いですよね。,おどろく,自己開示
1_1761,今日散歩してたいて、道にひもが落ちてると思って近づいたら、太い蛇だったんですよ。,ひゃあ、驚いたでしょう？,おどろく,質問(YesNo)
1_1793,今日通帳記入をしてきたら利息を見てびっくりしました。,どうしたんですか？,おどろく,質問(What)
1_1825,さっき出かけようと玄関の戸を開けたら、いきなり宅配便の人が立っていたので驚きました。,ナイスタイミングですね。,おどろく,自己開示
1_1857,先月の自分の結婚式で、夫がフラッシュモブをやってくれました。,そうなんですか！驚かれたでしょうね。,おどろく,確認
1_1889,先週ハワイ旅行に行ってきたのですが、ビーチで偶然知人に会いました。,それは凄い偶然ですね。,おどろく,自己開示
1_1921,角を曲がったら、いきなり人が現れてぶつかりそうになりました。,そういうことあるよね。気を付けて曲がらないといけないね。,おどろく,自己開示
1_1953,新しく中途採用の社員が入社してきたんだけど、元恋人だったんだよね。,そんなことってあるんだ。ちょっと気まずいね。,おどろく,自己開示
1_1985,友達と遊園地のお化け屋敷に入っていたら、唐突に顔に生暖かい感触を覚えたの。,えっ、何が触れていたの？,おどろく,質問(What)
1_2017,昨夜の雷には驚きました。びっくりして目が覚めてしまいましたよ。,そんなにすごい音だったんですか？,おどろく,質問(YesNo)
1_2049,散歩してたら好きな女優さんがロケしてた！,それはラッキーだったね！めったに会えるものではないよね！,おどろく,質問(YesNo)
1_2081,今日街でかっこいい人とすれ違ったんですが、あとでインターネットで売り出し中の俳優さんと知って驚きました。,へぇ~！知った時はさぞかしびっくりしたでしょう。,おどろく,質問(YesNo)
1_2113,昨日、家に帰ったら、母がご馳走を作っていてびっくりしたよ。,誰かの誕生日とか何かのお祝いだったとか？,おどろく,質問(YesNo)
1_2145,この前転職したんだけど、転職した会社に高校時代の友達がいてほんとびっくりしたよ。,それはびっくり！卒業してから会ってなかったの？,おどろく,質問(YesNo)
1_2177,昨日の夜急に大きな音が響いてびっくりしました。,何かあったんですか？,おどろく,質問(What)
1_2209,宝くじが当たったんだけど！,え！すごいね！羨ましいわ。,おどろく,自己開示
1_2241,音楽聞いていたら、急に爆音になって焦ったわ。,それはビックリするね！,おどろく,質問(YesNo)
1_2273,この前プレゼントの抽選に応募したんだけど、当たった！,え～！やったね！何が当たったの？,おどろく,質問(What)
1_2305,初めてビリヤードに挑戦したのに、経験者の友達に勝っちゃったよ。,すごいね。才能があるんじゃない？,おどろく,自己開示
1_2337,今日学校でわたしと同姓同名の生徒を見つけたの。,そんなことあるんだね。すごい偶然だね。,おどろく,自己開示
1_2369,東京旅行に行ったときに、たまたまテレビドラマの撮影に出くわしたんだ。,いいなあ。そういうの直接見たことないよ。,おどろく,自己開示
1_2401,友達の彼女が自分の元カノだったんだよ。,そうなんだ。偶然だけど、ちょっと複雑だよね。,おどろく,あいづち
1_2433,友達がお笑い芸人でデビューしたんだって。,すごいね！友達から直接聞いたの？,おどろく,質問(YesNo)
1_2465,昨日手が滑ってグラスを割って、家の者たちを驚かせてしまいました。,ケガはしませんでしたか？,おどろく,質問(YesNo)
1_2497,久しぶりに実家に行ったら犬を飼い始めていたんです。,へえ。楽しそうですねえ。,おどろく,あいづち
1_2529,夫が突然プレゼントをくれたんです。,まあ素敵！,おどろく,質問(YesNo)
1_2561,いつもラブラブだった友達夫婦が離婚するんだって、驚いたよ,びっくりだね、何があったんだろう?,おどろく,質問(What)
1_2593,豆苗の成長の早さに驚くよ、にょきにょき伸びてすごーい,毎日成長が楽しみです,おどろく,自己開示
1_2625,実は昨日の夜、彼氏にプロポーズされてびっくり！,そうなの！おめでとう。もちろんＯＫしたんだよね？,おどろく,質問(YesNo)
1_2657,あの女優さんが電撃結婚して、本当にびっくりしたよ。,え？あの女優さんが？それは知らなかった。ほんとにびっくりだね。,おどろく,質問(What)
1_2689,結婚式の時に、夫がサプライズで私の好きな曲をピアノで弾いてくれたんですよ。,それはすごい！ご主人、元々ピアノは弾けたんですか？,おどろく,質問(YesNo)
1_2721,今朝、髪の毛セットしてる時に、白髪見つけちゃったんだよね。,嫌だよね、白髪って目立つし。,おどろく,自己開示
1_2753,コンタクトに変えたんだね。,うん。眼鏡もいいけどコンタクトもいいかなって思って。,おどろく,あいづち
1_2785,中学校のとき同じクラスだった「サル」覚えてる？,ああ、覚えてるよ。あだ名が「サル」でいかにも猿っぽかったよね。背も小さくてさ。,おどろく,応答(平叙)
1_2817,すごい、ベランダにカブトムシがいる,カブトムシってレアなイメージあるからすごい,おどろく,自己開示
1_2849,あれ？歩いてる,なにが歩いてるの？,おどろく,質問(What)
1_2881,めっちゃイケメンの友達が、努めてる会社の年上のおばさんと結婚することになってさ。,えー、うらやましいじゃん。,おどろく,自己開示
1_2913,今、スマホを見てたら、おどろくニュースが流れてきたんだけど！,どんなニュースか教えて？,おどろく,質問(What)
1_2945,朝起きたら、人気絶頂の俳優さんが亡くなったってニュースをやっていて、びっくりした！,なんでだったんだろう。,おどろく,応答(平叙)
1_2977,何気なく娘と並んで鏡の前に立ったら、1cmほどですが身長が抜かされていました。,成長を感じますね！,おどろく,質問(YesNo)
1_3009,家族で遊園地に行きました。入場券を買おうと思って財布を見たら5千円札だけでびっくりしました。,うっかりお金を入れるのを忘れていたのでしょうか。,おどろく,質問(YesNo)
1_3041,毎年お取り寄せでトウモロコシを買っています。みんなで皮をむいて茹でて、冷凍保存したり食べて楽しみます。,トウモロコシはわたしも好きです。,おどろく,自己開示
1_3073,息子の部屋の掃除をしていたら、去年のバレンタインにもらったチョコレートが引き出しから出てきました。,子どもは変な所にしまい込みますよね。,おどろく,自己開示
1_3105,今日、部長に会った？,今日は会わなかったよ。なんでー？,おどろく,応答(平叙)
1_3137,聞いてよ！さっき、学校から帰ってる途中でUFO見ちゃった！,え？UFO？何かの見間違いじゃなくて？,おどろく,質問(What)
1_3169,今朝、通勤中に駅でキャーって悲鳴があがってさ、何事かと思ったら、何だったと思う？,え？何だったの？,おどろく,質問(What)
1_3201,昨日、山登りに行ったんだけどさ、そこで意外なものに会っちゃった！,え？何に会ったの？,おどろく,質問(What)
1_3233,姉が服飾関係の専門学校に通ってるんですけど、そのせいで部屋にはマネキンがあるんです。,へ～、マネキンって、あの、ショーウィンドウとかに飾ってあるようなやつ？,おどろく,質問(YesNo)
1_3265,昨日誕生日だってことを忘れてたから驚かされちゃった。,誰に？,おどろく,質問(What)
1_3297,昨日街を歩いてたらいきなりドンって肩を叩かれてすごくびっくりしたんだ。,それびっくりするね。で、だれだったの？,おどろく,自己開示
1_3329,さっき家に帰ってきたらさ、玄関の前に大きなカエルがいてびっくりしたよ。,ホントに？どれくらい大きいカエルなの？,おどろく,質問(What)
1_3361,ちょっと聞いてくれる？主人がね、急に独立するって言ってきたの。,えーそうなの？どうしてなのかな。,おどろく,質問(What)
1_3393,主人の実家に行ったんだけど、昔ながらのお家でトイレがまだ汲み取り式だったんだよ。,それはびっくりだね。私は、見たことないよ。,おどろく,自己開示
1_3425,タイに行ったとき、子どもたちが周りを囲んできてさ、びっくりしたよ。,へー遊んで欲しかったのかな？,おどろく,質問(YesNo)
1_3457,先日、ホテルに泊まっていたら急に火災報知器が鳴って、驚いたよ。,それはびっくりだね。火事だったの？,おどろく,自己開示
1_3489,パリって週に２日マルシェを出すんだけど、あのテントって毎回組み立て直されてるんだよ。すごくない？,それはすごいね。常設されてるんじゃないんだ。,おどろく,応答(平叙)
1_3521,今日息子が突然彼女を家に連れてきました。,彼女がいたんですか？,おどろく,質問(YesNo)
1_3553,びっくりしたよ。あんなに入ってると思わなかった。,どうしたの？何の話？,おどろく,質問(What)
1_3585,また国会議員が女性を貶める発言をしたみたいですね。,繰り返されるよね。,おどろく,自己開示
1_3617,昨日歩いてたら、いきなり鳥の糞が目の前に落ちてきてびっくりです。,当たらなかったんですか？,おどろく,質問(YesNo)
1_3649,昨日素敵なコートを見つけて、一目ぼれで手に取ったんですけど、止めました。,どうしたんですか？,おどろく,質問(What)
1_3681,本棚から封筒が落ちたので何かと思ったら妻のへそくりでした。,へそくりしてたんですか。,おどろく,質問(YesNo)
1_3713,友人がサプライズで誕生日パーティーを開いてくれました！,お誕生日おめでとうございます。それは嬉しいですね！,おどろく,応答(平叙)
1_3745,先月、仕事を辞めたから、今月は単発バイトでめちゃめちゃ働いたら、前職よりも儲けちゃった。,えー、それはすごいね。,おどろく,自己開示
1_3777,会社の同僚が、今度結婚することになってさ。,目出度い話だね。,おどろく,自己開示
1_3809,家に誰もいないと思って帰ったら、家を出ている息子が突然帰ってきていてびっくりしました。,事前に連絡がなかったのですね。よく帰ってくるのですか？,おどろく,自己開示
1_3841,この間中間テストがあったんです。,そうなんだ、成績はどうでしたか。,おどろく,質問(What)
1_3873,昨日、子どもが大きな箱を持って帰ってきて、リビングに置いて遊びに行ったんです。,何が入っていたんですか。,おどろく,質問(YesNo)
1_3905,昨日、道で偶然、小さい頃、遊んであげてた近所の子にあったんだけど別人みたいでおどろいたわー！,え！そんなに変わってたの？,おどろく,確認
1_3937,こないだ、先輩と飲みにいったら、すっかり性格変わっちゃって、おどろいたわ！,どんなになったの？,おどろく,質問(What)
1_3969,最近、隣に引っ越してきた人が、なんと高校の同級生だったの！,それはびっくりだね。,おどろく,応答(平叙)
1_4001,英語の試験勉強をあまりしなかったのに高得点が取れたのでびっくりです！,良かったですね！勉強しなくても分かったということですか？,おどろく,質問(YesNo)
1_4033,道を歩いていたら道端に蛇が現れてびっくりしました！,それはびっくりしますね。大きさはどのくらいの蛇だったのですか？,おどろく,応答(平叙)
1_4065,昨日家にゴキブリが出ました。,最悪ですね。,おどろく,自己開示
1_4097,ショッピングセンターを歩いているとき、驚くことがあったの。,ショッピングセンターで？どんなことなの？,おどろく,質問(What)
1_4129,こないだ雷が近くに落ちて吃驚したよ。,近くに落ちると音がうるさいよね。外にいたの？,おどろく,自己開示
1_4161,先月のカードの請求書を見て目をひん剥いたよ。,そんなに使ったんですか？,おどろく,質問(YesNo)
1_4193,この間、友だちの家に遊びに行ったら、すっごく汚くてびっくりしたよ。,おお。その人の家、初めて行ったんですか？,おどろく,あいづち
1_4225,きのう、近所の人にあいさつしたのに無視されちゃって。,ええ！聞こえてなかったのかな？,おどろく,質問(YesNo)
1_4257,テレビを点けたら、なぜか音量が最大になっていたんだ。,それはびっくりしただろう。,おどろく,自己開示
1_4289,先日、ソシャゲのガチャでレアアイテムが当たったんだ。,おお、それはおめでとう！,おどろく,質問(YesNo)
1_4321,この前の台風が来たとき、家の近くの川が増水したんだ。,へえ、大丈夫だった？,おどろく,質問(YesNo)
1_4353,聞いてよ～、10年連絡のなかった妹から子供が出来たっていきなりLINEが来たの。,えぇっ！　それでどう返信したの？,おどろく,質問(What)
1_4385,先月さ、おじさんが交通事故で亡くなったんだ。,えっ？　おじさんて、昔からお前に野球教えたりしてくれてたおじさん？,おどろく,質問(What)
1_4417,仕事が忙しいから子どもが家のことやってくれるんだけど、私よりちゃんとしてる,助かりますね,おどろく,自己開示
1_4449,マンションの隣がアパートだったんだけど、ブラジル人家族が住んでた、多分ブラジル人?とにかくラテン系,日本で働いているんですね,おどろく,応答(平叙)
1_4481,ニュース見てたら小学校の教室の前の方にロボットがいた、可愛かった,各教室に1体ずつあるのかな?,おどろく,質問(YesNo)
1_4513,うちのおばあちゃん、今年95歳なんだけど、この前、ペースメーカーつける手術したよ。,95歳で手術って、すごいことだよね？体力とか、大丈夫だったの？,おどろく,質問(YesNo)
1_4545,パート先でね、子どもの話にのってこない人がいるの。だから、子供嫌いなんだと思ってたんだ。,いるいる、そういう人。それで？,おどろく,自己開示
1_4577,さっき、テレビでやってたんだけど、目を疑っちゃったよ。,え？なにをやってたの？,おどろく,質問(What)
1_4609,いやー、なんと宝くじに当たったようです。,え！すごい！やったねー！高額当選？,おどろく,質問(YesNo)
1_4641,帰宅途中に、すごく大きなプードルを見かけて驚いたんだけど、あんなに大きなプードルっているんだね！,大きなプードルって、スタンダードプードルのこと？,おどろく,質問(YesNo)
1_4673,忘年会でビンゴをやったら1番にビンゴが揃って。,それは、凄い。,おどろく,自己開示
1_4705,友達が犬を飼ってるのは知ってたんだけど、玄関のドアを開けたら突然飛び掛かってきて本当にびっくりしたよ。,それは驚いたね。転んだりなんかしなかった？,おどろく,自己開示
1_4737,10年ぶりに従弟とあったら、とても背が伸びていました。,久々の再会ですね。どのくらい背が高かったんですか？,おどろく,自己開示
1_4769,当たると思っていなかった抽選くじに当たりました。,いいですね。どんな物が当たったんですか？,おどろく,自己開示
1_4801,昨日珍しく夜遅く帰宅したら、夫がすべての家事をしてくれていました。,模範的な旦那様ですね。よく家事を手伝ってくれるんですか？,おどろく,自己開示
1_4833,マンションの隣の部屋に友達が引っ越してきたんだ。,すごい偶然だね。元々引っ越してくるのは知っていたの？,おどろく,自己開示
1_4865,30歳になったっていうのに、お酒を買う時に年齢確認されたんだけど。,そんなに若く見えるわけでもないのにびっくりだね。,おどろく,自己開示
1_4897,友達に進められてなんとなくアイドルオーディションを受けることになったんだ。,それで、結果はどうだった？,おどろく,質問(What)
1_4929,久しぶりに実家に帰ると犬を飼っていたんだ。,あれ、お母さんやお父さん犬欲しがっていたっけ？,おどろく,質問(YesNo)
1_4961,今、庭から何か落ちてきた！ちょっと待ってて、見てくる！,え？何？どうしたの？,おどろく,質問(What)
1_4993,今日さ、びっくりするくらい綺麗な女の人が前から歩いてきたの。,へ～、そういう時って、女性同士でも見惚れちゃうよね。,おどろく,自己開示
1_5025,会社の同じフロアにね、すんごいイケメンがいるなーって、ずっと気になってたの。,へ～、そんな人がいるんだ？,おどろく,質問(YesNo)
1_5057,さっきさー、足の裏が痛いと思って、足の裏見たら何だったと思う？,え？傷でもできてたとか？,おどろく,質問(What)
1_5089,この間駅で急に後ろから肩をたたかれてびっくりしました。,それは驚きますね。誰だったんですか？,おどろく,自己開示
1_5121,さほど親しくない友人から突然食事に誘われました。,おや、同性ですか？,おどろく,質問(YesNo)
1_5153,先週、彼女のご両親に、お付き合いしていることを挨拶にいきました。,さぞ緊張したでしょう。挨拶はうまく行きましたか？,おどろく,自己開示
1_5185,今夜は中秋の名月です。天気も晴れていてお月見日和でした。,月は見ましたか？,おどろく,質問(YesNo)
1_5217,ついに念願のアレクサをゲットしたよ。,わあ、いいな。もう試してみた？,おどろく,自己開示
1_5249,昨日、初めて彼氏のお家にお邪魔しちゃったんだー。,わあ、楽しかった？,おどろく,質問(YesNo)
1_5281,今日は、年賀状のお年玉クジの当選発表日だよ。,今日だったんだね。もうチェックした？,おどろく,自己開示
1_5313,友達が破産してた、自分の周りでそんな人がいるなんてね、破産サイトに載ってた,そういうのが一瞬ありましたね,おどろく,自己開示
1_5345,舅の葬式の時、式のために用意したあった木魚を義兄がたたいたんだよ、驚いたよ,そこまで常識ない人、今まで見たことないです,おどろく,自己開示
1_5377,朝、弁当のおかずを作っている時、卵を割って三角コーナーに入れちゃった,もったいない、寝ぼけてたの?,おどろく,質問(YesNo)
1_5409,本気で落ちたと思った試験に合格したよ。,やったね！おめでとう。,おどろく,自己開示
1_5441,「重用」ってなんて読む？,ちょうようじゃないの？,おどろく,質問(YesNo)
1_5473,昨日夫が突然花束を買ってきてくれたんですよ。,嬉しいですね。,おどろく,自己開示
1_5505,すごく可愛いセーター見つけて一目ぼれしたんだよね。,買ったの？,おどろく,質問(YesNo)
1_5537,久しぶりに友達の赤ちゃんに会ったら、話せるようになっててびっくりした。,子供の成長は早いからね。,おどろく,自己開示
1_5569,家の近くで落雷があったみたい。,大きい音がしたの？,おどろく,質問(YesNo)
1_5601,久しぶりに友達に会ったら、お子さんがあっという間に大きくなっていてびっくりしました。,人の子って成長早いですよね。,おどろく,自己開示
1_5633,うちの上司、足音を立てずに背後から突然声をかけてくるから、毎回驚いてしまうのよね。,えー、それはびっくりしちゃうわね。毎回そうなの？,おどろく,自己開示
1_5665,昨日、急いで階段を下りていたら、数段落ちちゃってびっくりしたよ。,それはびっくりだね。ケガはなかった？,おどろく,自己開示
1_5697,昨日玄関を出たら、急に犬がとびかかってきてびっくりしたよ。,それは怖いね。大丈夫だった？,おどろく,自己開示
1_5729,今日の学園祭、サプライズで有名人が来てくれたんだよ。本当にびっくりした！,え～そんなことがあったんだね。すごいね,おどろく,応答(平叙)
1_5761,パリで道を歩いていていて、彫刻があるなと思ったら人だったの！,それはびっくりしたね。,おどろく,応答(平叙)
1_5793,あまり交流がなかった同級生なんだけど、交通事故で亡くなったみたいでびっくりしたよ。,それはびっくりだね。同級生ならまだ若いよね。,おどろく,自己開示
1_5825,昨日海で泳いでいたら、クラゲがいてびっくりしたよ。,もうクラゲが出るんだね。刺されなかった？,おどろく,自己開示
1_5857,今日飲み会で夜遅くなるはずの夫が、夕方になって帰ってきたの。もうびっくりで。,あらら。それはびっくり！,おどろく,あいづち
1_5889,昨日テレビでニュースを観ていたら、友達が街頭インタビューを受けていてびっくりしちゃった。,へぇー、それは驚くね。テレビに出るかも、とかお知らせはなかったの？,おどろく,自己開示
1_5921,昨日床屋で眠っちゃってる間に、思い切り短くされちゃいました。,切り過ぎなんですか？,おどろく,質問(YesNo)
1_5953,今日草取りをしてたらいきなり蛇が出てきました。,うわ、怖い。,おどろく,自己開示
1_5985,父からもらった安物のバッグを買い取りに出したんですよ。,いくらぐらいで売れたんですか？,おどろく,質問(What)
1_6017,左折しようと思ったら急に爆走ズル自転車が出てきて驚きました。,それは危なかったですね、大丈夫でしたか？,おどろく,質問(YesNo)
1_6049,あの清純派女優が薬物所持の疑いで逮捕されたらしい。,それは驚いた。あんなに清楚なイメージだったのに？,おどろく,自己開示
1_6081,昨日の夜中に、喉が渇いて起きたんです。,そうなんですね。何か飲みましたか。,おどろく,あいづち
1_6113,子どもが家に仲の良い友達を連れてきました。どこかで見覚えがある子だなと思ったんです。,知っている子だったのでしょうか？,おどろく,質問(YesNo)
1_6145,仲の良い女友達と先日待ち合わせをして遊びました。その時びっくりすることがあったんです。,どんなことでしょうか。,おどろく,質問(What)
1_6177,中学生の子どもが最近勉強を頑張っているなと思っていたら、模試で良い成績を取りました。,それは、親としても嬉しいです。,おどろく,自己開示
1_6209,この前初めて彼氏の実家に遊びに行きました。,彼氏の実家ですか。緊張しそうですね。,おどろく,質問(YesNo)
1_6241,昨日帰ったら母が急に家に来ててさ、びっくりしたよ。,そうなんだ。来るの知らなかったの？,おどろく,あいづち
1_6273,きのう、家に帰ったら、兄が両親にめちゃくちゃキレてたんです。,どうしたんだろうね。けんかかな？,おどろく,質問(What)
1_6305,今の子どもって、公衆電話の掛け方を知らないんですって！,そうなんですか。どうして？,おどろく,応答(YesNo)
1_6337,帰宅したら旦那がスカート履いて踊ってたからかなりびっくりしたよ。,え？ご主人そういう趣味だったの？,おどろく,質問(What)
1_6369,今朝起きたら子供の背中一面に湿疹ができていて驚いたよ。,あらら、それは心配だねえ。どうしたんだろうね。,おどろく,自己開示
1_6401,最近、寝不足が続いてたから、昨日は早めに寝たんだ。,お疲れさま。疲れはとれた？,おどろく,自己開示
1_6433,昨夜、鼻が詰まって寝れなかったから、初めて市販の鼻炎薬を使ってみたんだ。,鼻炎薬って、どんなの？,おどろく,質問(What)
1_6465,チョコボールのくちばしに金のエンゼルがついていました！,金のエンゼルは凄いですね！,おどろく,質問(YesNo)
1_6497,この間買った弁当がボリュームと値段が見合ってなくてびっくりした。,何？少なかったの？,おどろく,質問(What)
1_6529,いやあ、あの芸能人まだ若いのかなと思ってたけど、まさか自分より年上だったとは。,何歳くらいだと思ってたんですか？,おどろく,質問(What)
1_6561,ずっと黙々と作業してたら、あっという間に時間が過ぎていった。,集中してたんだね。何やってたの？,おどろく,自己開示
1_6593,ねぇ、わたし、女性だよね？,え？女性じゃないの？急にどうした？,おどろく,質問(What)
1_6625,2階の窓から植木鉢が落ちてきたの。,えっ、怪我はなかった？,おどろく,質問(YesNo)
1_6657,あまり綺麗な話ではないですが。,どんな話ですか？,おどろく,質問(What)
1_6689,彼女がATMの使い方を知らなくてびっくりしたよ。,ATMを使ったことがなかったってこと？,おどろく,質問(YesNo)
1_6721,京都に旅行に行った時に、鴨川沿いを歩いてたら声かけられてね。,なになに、ナンパ？,おどろく,質問(What)
1_6753,さっき車の運転中に、パトカーがサイレン鳴らしてこっちに近づいてくるからびっくりしたよ。,何かあったの？,おどろく,質問(What)
1_6785,すごく暑い日に庭でカラスが苦しそうにしてたから、熱中症かと思ってホースで水をジャージャーかけたら、元気になって飛んでいったんだ,命の恩人だね,おどろく,自己開示
