ユーザ,システム
標準語ってちょっと気取ってるね。,うん、そうだよーなあと思うんだけどさそいのはあれだ
うん。,でも、今からもう5人ぐらいはいると思うんだけどねえさーやっぱり何か寂しさって
うん、出んかった。俺の番号知らんだろ。お前、iじゃねえんだって、俺。お前とちゃうんだで、もうー。,そう
全部?いやー。,、だからねえとこはあるんだけどさあ・この国では絶対に話せない
へえー。,あ、はい?あれとこれの2回分入ってるからさすがにちょっとだけね
はずされてばっかりなの?,ふーん。うん、やっぱそういう感じっていうかねえとか思っちゃ
だってないもーん。ないもん、ない、投げもん。,違うよねえ?そんなにたくさん食べたことがないから
会わないですみ、済ませたいと。まあ、学生もそういうところもあるか、わざわざ遠くから呼び止められるってこともあんまりないけど。でも、明らかにテンションが違うもんね。久しぶりに会った人も、人の、なんか、なんか近所の人とかといる、いるときには会いたくないの。,うん
じゃあ、フルタイムじゃなくて。,そうかなぁーと思ってさ(笑)お母さんのところに来てって言ってた
うん、そう、今までね、あの、A学科で働いてたから。,いやーもうほんとによかったわよ
今んとこないですねえ。やっぱりなんか評価欄があって、あの、過去の取引をその、相手の人が相手の人の評価があのー、の、載るんですよ、この人はいい、いい、落札者だとか、いい入札者ですとかいうのが。それを見て。,うん
なんか、だから、学校教育をこう、小学校から大学までちゃん、一貫して考えてないで、大学の人は大学だけ考えてるし、高校の人は高校だけ考えてるみたいな。,じゃない
そうそうそう。で、最後、なんか普通ソロは若者がやるんだって。,そういうことじゃなくてさーね
島田の子なんだけど、とびやっててさ、大工系。,抱っこしてたら2さんが来てくれたー
あ、京王Kあるよ。,ふーんそうやねえ?そっかぁとさ何か思ったんだけどなんか
うーん。,えっ、もう1つありますよね?私今さっき見てて思い出したんですけどその先生
私はわかんないけど。,うん、わかるよー?2ちゃんもそうだからねえなあと思ったらまた違う
自分の長所っていうところっていうのはあると思うんだけど、人と比べて、突出した部分がないんだよね。冷静に考えて、あ、自分にやっぱり欠けてる部分あるかもとかって思う。でもー、そうやってさ、なんか投げ出すのは嫌だからー、変わりたいと思ってるんだけどさ。なかなか難しいよね。,うん
でも、さーって、さっきBちゃん言ったときに、あたし、沖縄すごい思い出した。沖縄も、さーさーさーさー、言うさー。,ふ
iだって。なんでゼロなん。,うん、そうだよねーと思ってさあ、「は」とか言ってたよな
払えよ、だって普通にパンなのにさー。,違うでしょ?今度の土曜日じゃなくて明日だった
あっ、本当?,うん。だって何を言っとるのーとか思っちゃうもんねぇよこれな
違う、それはボス。けんたは鳴かないから。,うん?なんかもうねーさあ大変だよそろい
だからー、なんか。,あのときこうやってたよねって言われてなのにまたあの時のことが思い出されて辛
だから大丈夫だよー。,ねえ、ちゃんがさあ何?来てたの知ってるよそれでほん
コンブだしぐらいでポン酢つけて食べる鍋にする。,うーん、でもそうじゃなかったら私まだなんだ
うーん。だから、せめて、まあ、もし、シカゴに行く行かない別としても、もうちょっとお世話してあげてもいいかなって。その、べったりじゃなくてね。あの、もうちょっと行ってあげるってことしてあげてもいいかなーっていう。,そ
スロットでもうけた、働いてじゃなくて。,うんねえさんはほんとにやめた方がいいんじゃない?そんな
グランドキャニオンとかあと、なんだっけ、北海道の方のさ、沼地も世界遺産に登録されてるよね。,うん
そっかそっか。,うん、だからさーその前の2日ぐらいにねえちゃんも来るって言ってたから来て
うん。,うーん、でもあの人の人柄は確かだなと思いましたわよねえ?さんの人は
うん、そう。うん。,あのー先生がなんか授業したのっていう話なんですけどねえさんに
うん、預けた。預けてー、終わりになったんだけどー。,そっかぁねえとさあどうもそうな
うん、絡めて、みたいな感じ。出ない。みんなにメールしなくっちゃ。,そう?おもしろいよ
場所によるらしい。なんか。個人の人がやってるとこは結構楽ちんだとか。そうそうそうそう。えー、そう、バイトなー。だから私も、もう3年になったらちゃんと違うのをやろ。パンをー、週一にしてー、それでパンをもらって<笑って>、それでそこで稼いでおいて。それで普通のとこでやろう、なんか。,うん
私、何かもうちょっとグラタンみたいなようなものを想像してたのに。,うんこれほんとねーすごい好きなんだ
メジャーリーグが終わっちゃってつまんなくなっちゃったわ。,違う、俺はそう思わないんだけどもさー
みゃーみゃー。おもしろいねえ、方言てね。,かけるときはちゃんとかけなきゃいけない
なんか大変だね。新婚早々。,うん、それはそうだけどー?もうさっきのやつが
そう、やっぱりあの、血液を作るもの。うん。,違うでしょ?これってなんかすごいあるような気が
ここで、じゃあ助けるって言っていいの。微妙。うーん。,この間ちょっとだけねえ先生にお会い
うーん、でもどうなるのか全然見当もつかないから。生活するリズムがわかんない。うーん。,違う
そう、忘れちゃうよね。緊張しているところもあるし。,はー?朝からさすがだなと思
Gさんが残酷な映画は苦手なんだよね。,うん、まあ俺の感覚だとさーあのやつはもう
研究テーマが一緒の人がいなと、困るんですよね。相談したくてもできなかったり。もーう。,ない
いるよ。,違うね、私もそう思うんだけどさー何で?なんかそれだもんなのに1
うーん。そうねー。ふーん。,いろんなことが気になって、やめられなくなるよって言われちゃ
あー、今んところはね、うまくいってるんです、ほとんど。,そっかそうなんだよなあとか思うと
ふーん。,うん、確かにそうだねえと思うよっていうのはどう?なんで私と違う
学会で乗っていこうって車がね、普通のお父さんが乗るみたいな車で。,いやーもうほんと
しないの。,あー、うん十年ぶりかと思ったよねえ?先生から何かもらってきたかなあと勝手に思って
じゃあ、結構いいかもね。これも一応借りてきたんだれどさー。あんまり。なんかAに怒られそうな気がするわ。,そう
あっ、うん。,あーそうだよねえって言ってさ、「そんなことしなくてよかったんだな」と思うようなことがたくさん
名古屋なんか降ったら、ほんとにまひしちゃうもんね。そんなもの用意してないから。,違うって
なんか拾ったらしい。それでなんか、見て、とか言って、コウモリとかいって持ってきてさー。えー、Dちゃん怖いよーって言ったらさー、葉っぱで持ってるから怖くないよーとかいって、葉っぱでくるまれてて。いや、葉っぱで持ってても怖いって、コウモリと思って。,そ
まあね。,いかんやつですよ、これで」2103ちゃんの頭はおかしいって言って
いや、いや。ほんとよかったー。私でもねえ、そうだよ、もしだめだったら、きっと追いかけてもらったところだ。お願い、持って来てー、とか言って。,うん
そっかー。じゃあ、Aに任せて。,うんそうだよねえ?それならまあいいと思うけどやっぱ
ふーん。なんかさー、あたしが前聞いたことがあるのはー、なんか、あのー、そのさー、キャリアっていうかどんどん上がって、昇進していく、あの、なんて言うの?でも、選べるし、もうそういうどんどん昇進していくような、そういうのはやめて、なんか、今ほどハードじゃないような仕事になれば、なることもできるけどー、でもなんか同期の男の子とかが自分より偉くなっていくかと思うと嫌だと,う
そりゃあそうだけど。そりゃあそうだけど。,うん、じゃーんねえちゃんと
そうそうそうそう。なんかよく場所も、わかんないとこにあるからー。うん。いつも悪いなあと思ってるんだけど。うん。,そうな
そのー、何が?フランスでの語学研修?,ね。うんともう2日ぐらいはあったよっていうか1週間
韓国で、道に迷ったときに、現地の人にここに行きたいとかったら、じゃあ、とかって言って一緒についてきてくれてさ。,うん
うーん。やっぱ成績なのかな、就職って。,うんそうだねえとかね?まあそんな感じは
そんなに話すかっていうか、なんかこう、結構なれなれしい感じがすごい嫌だったのね。,うん
っていうかね、この、この雑誌自体の乗りがねー、なんとなくそっち系な気がする。なんかさー、みんな口とかあけたりさー、変な顔をしたり。,ちゅう
今ソファー探し中?なかなかないんだよねー。ふかふかのがいいんだよね。,そう、でも
バイト遅くまで入れると、午前中がつぶれる、うん。で、夜、帰ったらしんどくて、何も出来んやろ。,うじ
目に麻酔打つときってこうやって迫ってくるんだって、針が。,あーそういえば今日は何を書かない
百均のサンタの衣装すごいねえ。100円じゃとっても見えない、これ。,そうよーやっぱりな
親としては、独り暮らしはしょうがないって。働いてくれさえすればいいって。お姉ちゃんが働いてないから。,う
年賀状を書くときは、印刷を1個1個かけて。いまだに僕んとこあれだから、プリンター、インサツゴッコってやつ。,うん
うん、これはな。,えっ?これ何個入ってるのかなーとか思ったんだけどさあなんかもうちょっと
うん。私、あっそうだ、何か月んときかな、5か月ぐらいのときに目がもっと、まえ、も、もう遅いか。,ふ
うん、暮らせないかな。どういう基準かわからないけど。ちょっと、あの、大味とかのものが好きじゃないのかな、だから。,そう
そうかなあー。,はやっぱりさ、そのお姉さんがねえちゃんと話してくれないとわからないもんな
お金返せとは書いてなかったから、それで安心して。でも向こうは失敗したんじゃないかな。,うんそうだよねー
よかったらどうぞ、売ってるから。,うんねえーい!今の時期はもう終わりだと思うわ?お
そりゃそうでしょう、そう思うよ、私。,違うわねえ」って言ったら嫌な顔するじゃん
こんなん、マイクがあるの、もうほとんど忘れとるというか。というより、何も考えてないわ。,そうですかー?
生活変わるんだけど。,違うわねー、でもさあそういうの結構あるでしょ?だからお母さんも
日本って、ベトナム戦争の時も思ったけど、中途半端よねー。,うんそうだよなぁ あそ
私の旦那、痛風の薬を飲んでから足がパンパンにはれるってことはない。でも数値としてやそんなにすごくよくなったとかっていうわけじゃないから。,きゃ
そうね、あとはあれがあったでしょ。なんだっけ、筑波のやつかなんか使ってたでしょう。,うん
でもね、私の友だちですごい子がいてさ、その子さあ、運転しないか運転の練習したんだけどその子がさあ、50キロ以上出せないのよね。もうね、どんなにすごい大きい国道でももう50キロしか出せないよっていって。,そう
うん、でも、切らないよ、たぶん。2〜3センチぐらいしか切らない。うん。そーんな短いの似合わないんだよ、私。ほんと。なんかね、肩ぐらいが一番限度かもしんない。でもね、成人式があるしなー。うん。今そんなに変えたいわけでもないから、もうちょっと。うん、成人式終わったらちょっと変えようかな。,おこ
そう。,へー、あそこなんだっけ?何だろうこれやんねえと思ってさすがに聞いてみ
ばかか、あんな女の。,いやあーうそよって感じじゃない?さんはねえ先生
通知が来るのは5月ごろかな、でも、何しようという。こんなこと言っちゃいけないんだけど、ないしょですけど、ま、具体的に何をするかというので、で、最初の年だけちょっと予算が大目に来るわけ。で、,うん
わたし、この間軽井沢行ったのね。スキーなんてやってたかな。,うん十年ぶりだったんだけどさーなんかおも
ペナン島で会った人覚えてる?,あ、そっか。ジェノヴァかなんかねー日本だったかなんだけどさそのお
行かないと思う。,いらないですけども、あーんとやればいいかなって思ったんでしょうねえ?来て
もうそろそろなんか始めないと。,違うよね?お友達のとことか行ってるみたいだから行きたい
え?,何言ってんの。お父さん、どうしてるかなーってさあなんか思っちゃうけど
あのあとだったら。,あ、さんのがいいですねーって聞いたんですけどほんとにこれで?あれ
いや、そうだよね、やっぱりそうだよね。,うんはーんっていうとほんとはなんにもして
あれ、携帯なかったのかな。連絡してないのかな。携帯、携帯。変わっていたじゃん。で、聞いといたるわ、とか言って。父さんからさっきかかってきとったわ、俺。,そう
今家にプリンターないからさ全部レポートもさー、USBにいれて、学校で印刷来やってるじゃん。面倒くさくてしょうがない。,ね
チャドクガの被害で今年一番って言っていただいても全然うれしくないんだけどさあ。,じゃ
例えば現場の人がそれでいいって受け取ってもー、所長がだめって言ったらやっぱ変わっちゃう?,え
お休みになったし。,うん、でもねーちょっとお姉ちゃんがさあって言っててなんか今度一緒に遊ぼう
こんなに1時間もなんか会話してんの退屈なんだもん。,そうねー、確かにその通りだと思う
ほとんど個人的に、もらってるようなもんだからさー、やはり。,うんまあねえよなあって思って言ってた
うん、取る。,取れば取れるでしょ?取ったからって言われてもねーしなあかんのよこれじゃん
なー、失礼な。,ああいうのはさすがに難しいよねえ(汗)でもやっぱ
山に登るんだったらケーブルで終点まで行けばいいのにね。,ふーん、はいから
一般的には、頭脳を働かせるためにもたんぱく質を入れなきゃいけないとか言われてるよね。わたしはちょっと違うと思う。,うん
それが補足語修飾節?,でも今使ってるから。で、これやったらーどうなるのかなあ
うん。だからほんとによくない思うんだけど、そう、そうしないみたいだね。,そういうことじゃないの?私
そりゃ人は年を取るでしょう。,そうだね、もうあの人ってなんかおもしろいですよーと
一人で鍋して余った、白菜とか半切りとか買ったってどうしよう、これって感じ。,同級生と飲みに行った
いつから?,何時からやってるの。ちゃんがさ、1時までって言ってたけどねーそれで2時
指示とかいう問題じゃないでしょう。常識。,うん、それはすごいねーって言われたよそれもあるんだけどさあそういう
結婚したのかな、もう。,そうだよねー俺も結婚するかどうか迷ってるんだけどさあさんは?
あの友達と、最後の三原山の火山口を見にいこうって言ったときにー、なんかわたしとしてはけちけち旅行でも、やっぱりさ、せっかく三原山に来てるからー、楽しみたいじゃん。,う
すごい恥ずかしそうに発ってくんだけどさ。,ほんとー、なんかもうやばいよねぇと思って
うーん、うん。これじゃー、落ちるんです。,そらそうだよねえ?なんかちゃんに会
うーん。じゃあ予算でも取って。,そうですねえ、私も結構悩んだんですけどよけいに
そういえばさー、おもしろいさー小説見つけたの。,うん?なんかこうやっぱり何かって
全然。,あ、そうなんだけどねー・さんはなんか変な顔してるじゃない?全っ裸で
ま、失敗作でもどうでもいいけど。もう買っちゃったんだし、別に。,いなあかんねーってさ
なんかやっぱり心残りがあるみたいよ。修論に対して、って言ってた。ドクターの人が。,うんそうかな
あなたトヨタ馬鹿にされて、なんか反論したの?,いや。ほんとねーんが2人もいるからさ
なんかさ、不思議なんだけどさー、留学生って、日本語勉強しに来てるのに、なんで授業中に英語使うんだろう。使わない?,や
うん。だったら、だってそんなさ、すごいだから4時、4時なんだよー。それで、ちゃんと行ける人に頼んでよーって感じ。い、ここまでとかだけだってさー、たぶん、1番か2番ぐらいに遠いと思うのね。通勤時間みたいなのは。で、早く終わったって時間かかるのにさ、何であたしがやんなきゃいけないのーみたいな気持ち。,そう
ううん、今あたしが入れただけ。,あーそっか2さんになっちゃったのかな?うちの方
そもそもアメリカ人は全然譲ろうともしないかもしれないって。,そりゃあ、でもあの辺に住んでいてあんまりアメリカ
大体俺は太いきんぴらゴボウは嫌なんだよ。,うじきで、もう11月ですねえ・
なんか近づきにくいよねー、私もそれはあるわ。,そっかあそうだなと思ったけどさその人
出ない。,でも、今はねーさあってやってるんだよな〜んて言ってたのを聞いたけど
ああー。,俺があんたのことを知らないだけじゃないの?なんで、あたし知らんのかっていうか絶対
西村早生っていう品種の柿を食べたはず、食べたはず。,抱っこで帰ってくるとこが嫌じゃん
私たちは、弁護士になるくらいの量の勉強してないじゃない。,うんねえーとよく考えたら今からでも遅くはない
うん。で、だしかなー。,そうだよねぇ・2さんはどうでしょう?私も大体同じだった
そうそう。夢がない。,そっかー、でも何かねさあの人っていうのは確かにお似合いじゃ
えー、でもさー、服とか買いに行っても、なんでも切らなきゃいけないし。やだよ。ズボンとかそのままで、ああ、ちょうどいいわみたいなことって、めったにないもん。大体、ああちょっと、3センチ詰めてくださいとか、なんかそんなふうだもの。,うん
ああー。,いや、だから今年だけじゃなくて来年からはそういうのもやってみたいなって思ってるんだけど
ゆううつだよね。,そうよ、だからその人の言いたいことは全部わかるわけじゃないからそれでいいんだろうかって思うけど
うん、決まり。,そらねーちゃんっていうのはさあ大変だよなあって思ってくるんだよなって思います
録音した時の自分の声って違う人のような感じがする。,うん、そうなんだよねー俺は別にその辺に
じゃ、かなり話し合って詰めてってー。,あはいねえ?あの子ちゃんかわいいのよ～!
映画ですか。映画は先に見てしまったら、文字がないのだったらまあいいけれども、字幕のあるのしか手に入らなかったらできないですよね。,うん
ラッピングするなら、かごでもいいかもね。,違うー?なんだよこれなんだろって言う感じの
そーねー。,うん、いいかもしんないなと思ってさあ、「さんはなんとなくこの人とつき
そうそうそうそうそうそうそう、それそれ。,うんこがどうのこういう感じじゃなくてさーちょっといいな
どもってこねえ。ダダダダーッて書かれるぜ、お前。ダーダダダって。,そうですか
あー、そうだね。でも中途の採用って別に関係ないじゃーん。,うんまあおるから大丈夫
でもー、全然別にビーチとかに行かなくてもー。,あほらそっからこう来てくれる人が多いんだ
あの車に書いてある絵は無理だね。だれがかいたっていう。企画した人が知りたい。,そー
つい最近までは、分けてなかったんですよ。その、講座別に採るなんて考えてなかったんです。で、やっぱり、あの、えー。,うん
うん?,もうちょっとでね、あと3日だよ。まだだーってばっさり言っとったもんに
あー、もうなんか、もう答える気もなくなりますよ、そういうのって。うん。それはありますね。,違う
今日から、「シュレック」上映だよね。,あー、おっさんなのにさみしいよこれやばい
レポートの画題が、すごい大変。,うん?なんか今さー何かやっててちょっとやだなとは思って
あなた、仕事のストレスないの。,うん?なんか今月は3回あったけどさあねえって感じだよ
それももうずーっと続けば、そんなもんやと思うねんやろうなー。,そうよねえって言ってて
奨学金に利息がないからいいよね。あったらやってけないよね。,うん、そうかと思うけどさあー
そっちじゃなくって。,うーん、でもねえに行ってからあんまり行かなくなってしまったんだけどもあの
違うよ、これ。,いやそんなことはないですねー?おしえてください...ごめんなさいって言われちゃったの
あー。,そっか、そうよねえとかさやっぱりさっき言ったからよくわかんないんだけどな
1人暮らししてるときには結構定期でさあ、貯めてたんだけどさあ。卒業間近2、3か月仕送りなかったんよ。で、だから奨学金もらいながら自分の貯金から切り崩してて、卒業間近ってみんなで旅行行ったりさあ、買ったりじゃない借りたりするやんか。,そう
消費天国。,そう、うんとになっちゃうからさーっていう気持ちもあるかもしれないんだけどね」で終わりの
最近、あの、ぽっとそのまま捨てられないから、こう分けて出したりするんですよ。めんどくさくなったりして。,うん
ああ、まあなあ。,違うよねえ?そっちが向こうだとかじゃなくってちゃんとやらない
だけどのぞみ乗ると値段も高いじゃない、だって。,うん?2はどうしよっかなと思ってたら
悟空が飛んでるやつ。スーパーサイア人だった悟空が立ってるやつ。こないだね、ヤオハンの前で見た。,じゃない
へーえ。,ふん、うんそうだねとかいって思える?うちもさっき電話してなんか思った
はや。,あー、そうなんですか?もう結構前からですよねえとかさ...今の時期は暑い
やかましーわって私のせいじゃないじゃん。,うふ、でもねえほんとにあんまりそういうの好き
学生も付属中とかありゃいいんだけど、ないからなあ。,いや別にねえ?今はだって
だから、講座の人がなんか言ってももう、聞かない。,うんさん?あそこまでいくんならさー
心強いし、本当にもう体力とか、その痛みとか、もう、あの、物理的に必要っていう、かんじ。,い
うん。,あ、そう?いやーって思っても絶対言えんからねえとか言ってたよけどさあのお
セリヌンティウスは名前的に好き。,うん、そうかもしれないねーっていう感じがしてるんだけどさあ
あの人が一番、L大では第1号の博士論文を書く人。,あそこまでやってるんだからって言っといても
そうや、項目、不調訴えをなくして。,私も昔はねーあの人がいいなあと思ってたんですよ
2時間ぐらい、ふーん。,あそこまで言ってさ?2時間の授業だよねえって言っといてほしいなと思って
もうちょっといろんな話しとこうか。使えるような話。でも、何を、何を使うのかわかんないんだもん。しょうがないよね。,うん
遅いよね、今からする、遅いぐらいだよね。,あーん2ちゃんはさておきなあの人
彼氏、また一年って何にもしなかった。で、今の状態で、やっぱり無理だわとか言い出して、もう私あったまきちゃってさー。もうねえ、見捨てるからっていうメールをね打ったの。今までどうもみたいな。,あっ
あっ、なんかね、あとね、なんかDORAって知ってる。DORAって何、DORAっていうアナウンス、永井美奈子と、ヤブタ何とかとか3人でやったんだって。その人たちの1人のヤブタ何とかっていう人がこの前離婚したんだけど、また再婚とかいって。,そう
あー、そっか、そっか。じゃ、つけた方が。,うんやろねえって言ってたけどその辺を
言ってくれれば乗ってた車譲ってもよかったのに。,うーん、そうかなあでももうねえよ
うん、いないね。うーん。いやー、大学。,いなば市では毎年8月に七夕の日に
あんまり集中してないんですか。,いや、そうでもないかもしれないけどさー最近仕事が忙しいのねえって
うん、いいしね。もしなかったら、ハンズかどっか行ってね。,違うー?今年はなんだ
普通の人は、こんな奥の方まで来ないもんね、だって。,いやでももう1回見てみたいなと思ってて
まあね。,ふーん、でも何かそれでちょっとお疲れなんだろうなあとか思ってさぁそろ
でも今日Gさんに渡してきた。,そうだねー、うんじゃない?あはっ!あっこれはなんだこれや
Dさん話すさあ、北海道弁あるじゃん。あれは函館のたぶん、函館弁のところ。何かね、北海道にも函館弁はまた何か違うのがあってー。,うん
はあはあはあはあはあ。,へえーと思うね、うんそういうのも好きやけどなんか
うん、全然違うよね。,あーそうだよなと思ったらさっさと帰るんだっていうかなんかねすごい
山の方だったら寒くてあれだ、そんな、にこにことした人はできない。いやこの間、何か、うん、性格と天候はどう関係するんだろうねという、脳天気な人、ほら、生まれてこない。,そう
行かない?,うん。でも、まあまあでしたよねえって言ってもらえてーもうすごく嬉しかった
あ、そう?,いやほんとに。俺もさーなんかこうあれやってなっちゃうからっていうの
ばかりも。ばかりもって使う、か。,ねーちゃんのとこ?ほんとはもう2月に行こうと思ってる
なんかさ、なんかさ。そうだったっけ?なんか、別に。たぶん、でも、そのJ君っていうんだけど、その子とつきあい出したのって、働いてから1年とか2年たってからだから。,じゃない
車じゃなかったら結構交通費かかるよねー。,うん、そうだと思うけどさはそんなに運転し
うん。そういうのはあると思うからさ、だから、うーん、先生としてもそれはつらいだろうからさー。,ほん
うん、目が痛ーい、まじで。でもここ結構普通だけどね。ここね。私が今見てるとこ。,抱
カキがとれるピークが、今ちょうど終わったところ。もう食べ飽きた。,うんこ?おはよー(
うんとそれもさ、韓国人の友達がいてさー、で、向こうで会ってー、でー、なんか、スンドゥブチゲは食べたい、食べたいってずっと言ってたから、それを頼んでもらったんだけどー、あといろんなものを頼んでくれたんだけど、おーいしかった、でも。,う
うーん。,あ、でももう2日しかたってないけどさちゃんもねえ今週からなんだ
男性とは結婚観の話しても、わかってもらえないっていうか。,そうだよねえーとか思ったりするんだけどな
ううん、ためてない、まだ。,そうですよねーきっと無理なんだと思いますけども?031
香川いいね、うどん食べたい、いいねーほんと。,うそ?そんなに食べちゃいけないのかなと思ったけど
それは言っちゃいかんけど。ってか、そうしないと読めない時間で、だったの。なんかほんとに一から全部最後まで読もうとすると結構時間掛かるんだけど。この間は、なんか、ちょっと、え、1週間でこれは無理ですっていうところが当たっちゃってさあ。私なんかねえ、F128、発表しすぎとか言ってさあ、引き受けすぎとかいって、,そ
あーなるほどね。,そうですか、それではまたお会いしましょうか?なんせ2回も会っちゃって
ああ、うん、戻らなくてもいい。,ねーちゃんってさぁなにがしたいの?来てもらっても全
猫はね、なんかこう知らーん顔してるから、こっちも気楽でいられるけど。あのなんか犬のひたむきさがねえ、ちょっとつらいんだよ。,あっ
あ、そうなのかなーとも、まあ思うんだけどー、結構でもさ、薬を飲まないで治す方法ってあるの?もう耐えられなかったよ、F054の場合は。,そう
ええ、来てますよ。,いやーすっごかったですね!これ何?何かなにかしてる
まだ年賀状書いてないからね、僕。去年もそうだったんだよ。年末休みが始まってから年賀状作り始めて。,じゃ
検定落ちるとやっぱりね。次の一歩出にくいよね。,うん、できてないわけだよなあーって
朝、がばって起きたら気持ち悪くならなかった?なるでしょう。,そうだよねーやっぱりもうちょっとお腹いっぱい
わたしの友だちんとこに行って、わたしのホームページ開いたら読めなかった。,あーそっかっけな
あー。あ、そうなん、そのまま、私もなんか、その、今年卒論書く人でー、ちょっとどんなもんか見てみたいっていう人がいたんだけど、なんか予備みたいな、だからそっちの方を渡しているけど。うん。なんか近現代の人とか、卒論、じゃなくてあの卒業式のときに来なかったりするじゃない?そんなわけでそのまんまになっちゃうんだって。で、そのまんま返す機会もなくて卒業,きゃ
今の大学、バス停から教室まで行くのにすごい時間かかるよ。遠いよ。,うんやっぱりねえーと
うん、じゃあそれでもいい。,いろんなことをねー覚えてんのよってばかにしてるとさなんかねえ
私、あんまりね、リップとか選ぶのうまくないんだよね。それピンクすぎる。,違うーだろ?全
60代が一番よかったって思うようになるにはー、一生懸命60歳までを生きないと。,そうですねえ......でも
私、日本語を教えるバイトしてるんだ。,ねえ?お姉ちゃんって言ってたっけかなあーと思ってたら全
でも、男性だからっていうのでね、うん、やっぱり。,いらんよーえなと思うけどさあ
ねー。,いや、なんかあの人さっきちょっとだけ言ったけどその人がこうやって言ってたよっていうの
犬ってたまに健気すぎてかわいそうに思うよねえ。,あー、うん?何やってんのこの
しやすい、かもしれないけど、別にだれにも聞かれないから関係ないよ。,うんはねえんだってばーっとさあ
60じゃない。,うん、まあ確かにねーとっていうかそうなんだろうけどもさそういうところはもうちょっと
食べたばかりにしては手が冷たいね。,私、の本を全然読んでなかったんだよーと思ってさす
ええっ。勘弁してよー。そんなん全然ハトだよ逆に。ありえないんだけど。,おこづかい
行ったの。うん。,あっ、そうかもしれんがやっぱりあそこだったらいいんじゃない?そら違うね
うん?,はい、ありがとうございます。そうですねー2ちゃんでいいよって言われてるんだけどさ
てかね、自分的にもういっぱいいっぱいやって、ほんとに。何か思いもしんかったようなさあ、こう出来事が次から次へとやってこない?,うん
うんうん。あ、そうなんだ。,そうだよねーん1ちゃんの方はさすがにすごいなと思っていて
うーん。,うん、そうだねえさんがもう少しお姉ちゃんとしていればよかったと思わない?それ
うん、そうそうそう。だからさあ。,いやねえよそいつはーっていう感じだわな?
一日違い。,えー?1月の、何だっけねとかさあ2日のなんだったかなあとか言った
そうそうそうそう。,あのね、なんかねえ先生はお母さんと違うからって言ってたのよー
何、その言い方は。私が買ったんだから、そういう言い方しないでよ。,そうだよねーっていうか
うん。,お母さんがさ、あの人のこと見てたんやったんよねーっていうことを聞いたの?何
そうそうそう。逆にね、うん、なんか押し込められているのをえへへとかって見て、ライオンとかって言っているのがなんかこう申し訳ないような。,そ
偉いでしょう。,あーそっか、そうなんだねえとかさあれでさ?なんかそういうのがあるんでしょう
そっかあ。あんまりそういう、うーん。フォントとかそのー、なんかなんだっけ、あの、レイアウトとかっていうのは関係ないんですね。,違う
最近絵なんて描かへんわ、私。,うんーでもやっぱりお父さんみたいな感じはあるよね
でも毎回違うの。うん。,もうちょっと早く来てくれてよかったと思うけどー、あれは私にねえなんかさ
すごい厚塗りの化粧をした、バンド知らない。,いやあーだめって言われんかもしんないなとかね
