ユーザ,システム
今も?,応答なし
そんな俺がやるわ。,応答なし
ねえー。食べたい、普通に。,応答なし
会話を文字お越しするのは、大変だわねー。,うん?そうですよ
ほんとほんと、うん、それいつも思う。だから隣の人とかも思わずなんか、えっ、あの人だれって思っちゃう。だから。,応答なし
え、F048はおばあちゃんの沖縄弁をわかる?,応答なし
なご、名古屋市、名古屋市内じゃなかった?,応答なし
ほんとー。上の人、何歳になった?,応答なし
ふーん。よ、曜日によってかな。週末とかだと。,応答なし
うーん。おかしい、それ。,応答なし
Sさんとあなたが仲がいいというのを知ってて、言ったんじゃないの?,応答なし
あれはだれがやってるの?有名な人?,応答なし
んー、ね、何か結構短いですよね、2年間ってね。ほんまに何もしないうちに1年終わってしもてて、うわー。,で
あ、びっくりした。これが回ってる。っていうかさ、こ、この子とかさ、なんかいかにもちょっと恥ずかしがり屋ですって感じのさー、子がなんか応募してるっていうのがね、寂しいな、私は。なんかこういう子いかにも応募してきそう。わっかりやすい。,応答なし
名前、名前がやっぱ花屋敷だもんね。,応答なし
本?隣の本持ってきます。,応答なし
そうそう。見ながら行くという。で、ユニクロも見ながら。車で行っているときは、そう、いつも通ったり、寄って帰ったりしてたんやけど、今はバス、バスも乗っていくから。でも、バスに乗って行くと楽かなやっぱり。車でなんか、,応答なし
うん。,あ、それでーすかってことですか
うん。,応答なし
冷え性になるわよねー。あー。そうですよねー。懐かしいねー。でもオレたちひょうきん族とかも見てたしね、私。,応答なし
なんか今日のさっきのニュースで言ってたけど、アフガニスタンの方の駐在員さん戻りはじめてるんだって。,ね
おばあちゃんは、お茶会に着物着ていったの?,応答なし
うん、いなーい。なんか、あまりにも安すぎるのも、なんかちょっと怖いなーと思ってー。,応答なし
そう?私、似合わないのよね。それ、赤すぎるかなー。,応答なし
Eメールにしとくの。,応答なし
論文の内容的というよりも、ポルトガル語の文のチェックぐらいとかは必要かもしれませんね。,応答なし
でも、あれは送られても困るけどね。,うーんとかなんとか言って
なんかそっちの方になんかこう。カルピスでも。あー。,応答なし
うん。なんかね、ミニクロ、ちっちゃいクロワッサンとかを昨日持って帰ってきて、ちょ、1個だけ食べて、あーもう我慢、我慢、我慢。,応答なし
よしって。,うん、わかる気がするねーとか思っちゃうのよほん
私が乗ってる車はガソリン1300で足りるわよ。,うん、いいじゃん
そうですよ。,あ、それはねー?そういう話
留年するにしても、学費はどっちにしてもいるじゃんねー。,そう
えー、お、なんだろう。結構、それなりに、全部おいしいかも。でもね、決まってるやつーしか、私持ってこないからね、いつも。気に入ったやつしか。うん。,応答なし
どうしましょう。みんな裏切らないかな。,応答なし
安いトラックじゃないよね。,あ、そうかそうなんだーとか思ってみ
うん。,応答なし
大丈夫?,応答なし
サボるんだ。,応答なし
これ、だれが撮ったん?いや、頼んだんやろなあ。,応答なし
私の友達もおもしろい子なんだけどー、やっぱりさ、なんか彼の友達のスピーチ強烈だったじゃーん。,応答なし
まあ、アトランタだったらちょっと田舎だし。危なくないし。,なん
あー。ね、スパゲティ、替えっこしない?,応答なし
そいじゃ、晩飯だけ?,応答なし
違うの?,応答なし
うん。なんか本読んでるからね、よく。うん。Aも向く人と向かない人いるね、仕事内容が。,応答なし
うん、途中まででいいでしょうと、ね。,応答なし
去年、去年はね、パーカーで頑張ったんだよ。,何
4、え、4休み?4、5。9連休じゃない。,応答なし
そんなことを言ってるうちはまだしろうとだっつってんの。,応答なし
うん。,応答なし
あーうんうん、11月の24日に、OB現役が集まるのはもう空けてる。,私
エステに、をー、ちょっと見に行ったことがあって。なんか、体験しませんかーみたいなやつでー。すごい高かったんだ。ここの学費をちょっとエステにつぎ込もうかなって一瞬思ったことがあって。じいちゃんに申し訳ないから、それはちょっとできないなあって。なんかそこで笑ってる、先生が。ね、だって50万ぐらいしてー、学費と一緒でしょう?ちょっとなんか、いいかなー,応答なし
ねえ、うん。いなくなってもな。,そうですよーって言うんで
そうだよねー。でもさあ、うん。お茶を持ってくるとちょっと違うよね。あ、いい匂い。,応答なし
わかんない。,そうだねー、確かにさすがはやっぱ
修論のために、大学で借りて、J大でも本借りて。,応答なし
Z2先生っているでしょう。なにZ2、A3、A3・Z2、奥さんの方。ご存じないですか。昔。,応答なし
もうねえ、うん。,でーすかとか言ったら向こうから寄って
お前。ごめんね、ごめん。まちがえた、ごめんね。,で
カリフォルニアロール以外にも外国の巻きずし、なんかあるね。,応答なし
ここは名古屋だから?,応答なし
偉いでしょう。,応答なし
なんか今、家が忙しくってさ、すごい、事務所が。お母さんが全然家事ができん。私かお姉ちゃん。最近お姉ちゃんがお父さんと大げんかして、うん、めちゃめちゃなけんかをやったんよ。お姉ちゃんすねちゃってさあ、もう家事なんかいっさいやらないって。全部私。くそめんどくさい。,そういう
あのー、常緑樹っていうのは木がやらかいんだよね。,応答なし
他に主力で稼ぐ人が家にいないと、日本語教育の先生なんてできないよね。,じゃ
ああ、そっかー。何かねー、ちょっとずつ嫌なことがあってーあたしさー、韓国で友達少なくて。何か知り合ったのが、あたしが前つき合ってた人の、昔のルームメイトの、彼女だったのね。で、2人は友達どうしで、あたしと知り合って、あたしにその子を紹介したのね。年も近いからとかって言って。でさー、すごいその子が仲よくしようとしてくれてさ、,応答なし
いやーん、1人でやだー。,応答なし
ダイエットしまくり。,私、運動はしませんからーって言ったら絶対や
なんか、うれしいけれども、なんか、メモ、メモしないと。しかもパソコンに打つんじゃ、私の場合はだめらしくて。,応答なし
前は、何か、生協じゃなくって、みずたにフードとか何か、あの、業者さんが持ってきましたよね。,応答なし
こないだそうや、お姉ちゃんとさあ、お母さんと話しとってさあ、うん、まだF024は振りそで着れるんだよねっていう話になって、未婚やから着れるやん。着れるよ、修了式着てこうかって言ったら、七五三になるからやめろって言われた。失礼な。,応答なし
うん。てか、もう人の車に乗った時点ででもさあ、割と覚悟しないとね。,
深く考えてもしょうがない。,ふーん、まあねえさみしいよ
大体、O部とかっておんなじ人が集まったんですけれど、でもそこに、何かね、えーと何とかセンターって今たくさんあるでしょ、理学何とかセンターって。,そうな
あー、そっかー。,うん?まあいいかなって言ってるんだけど
えっ、無理だよ。,応答なし
そうそうそうそうそう。こういうのってね、案外意外な人が受かるからね。,応答なし
アメリカから帰ってこなきゃっていう気はあるんだよね?,応答なし
うん、何?,応答なし
そう、仲間もいる。,そしたらそのー?それ
ねー、紹介してほしいわ。あ、でも、私結構、最近なんか、紹介して、紹介してって言って、いろんな人紹介してもらって、<笑>友達だけが増えてく。,応答なし
関西は薄口しょうゆ使ってるからね。,そうですよ、なんか
それはそれぐらい掛かるんじゃない、人件費からさあ、材料費から、全て。,応答なし
そうそうそう。何、渋滞1キロ先。なんか、浜松の時間がでてないのか?,応答なし
うん。ほなCDとか買うたて言うてるの、どこで買うてるの?,応答なし
えー、でも何かね、そうゆ、あ、知らないけどさー、そんな、着物、には詳しくないけどー、母がそう言ってたよ。,応答なし
「マテリアル・ガール」も歌ってるよ。,応答なし
2個。2、3個。,応答なし
私はわかんないけど。,そうよねー、わかる気もするんだけれどさ
南アフリカ共和国に行ってみたい。,あ、そうなの?やっぱ
もう、もう、わかった。別にいいからって。,そっかーよかったね
怖くないの?,えっ、何。なんでーとか
私が見てたフランスのドラマ、日本でもヒットしたの?,応答なし
あ、あたしも、あれ。,ほんとーにねえさそうだよ
いや、結構パン、おいしんだよねー。,応答なし
してないですね。危ないな。昼休み中かな。,応答なし
なんかね、この前、あのー、マザー・テレサのドキュメンタリーを見て、それを自分でこう台本を作ってー、で、あの、進めて行くっていうの。ありがとうこざいまーす。,応答なし
電車の中で、目を閉じて下を向いて、こうやって、なんか腕を組んでいるとかでしょ。,応答なし
固いっていうか。,応答なし
なんかずっと立ってる方がつらいよね。,あ、はいやだな
大学の授業で。フランス語での口頭練習とか聞く練習とかなかったわけよ。,応答なし
どこが田舎じゃ。,応答なし
無理。,難しいね、あれってさーあほげなのよきっと
うん。,あっ、そうなの?C先生だったかなあ
うん、書く、書く。うん。,応答なし
ばけばけじゃん。パス、ベイビーパス、だから最後に君がぱしっと押して、勝ったー、パンダの勝ちー。,応答なし
ヨガって体に絶対いでしょ。,応答なし
あの先生だから?これはですねって。,応答なし
カレー?,応答なし
知ってる。,応答なし
これ、これさ、縫ってたらー、だからいないときに縫わないとね。F071さんね。型紙作って私も、こう、作る、作って。そしたらうんと何、ご主人と、えーとAちゃんと、あの、C君とママと4枚でしょう。で、Eさんち2枚でしょう。6枚。で、うちが2枚で8枚。で、Dちゃんところがパパとママで、,応答なし
ありがとう。,ほんと?これ、あの人だってわか
すごいね。,あ、それって今度の土曜日か?
住所知らないしね。,応答なし
部屋片づけたから車買ってくれる発想、絶対おかしいもん。,ねー
節約って、どっちがいいとかどっが悪いとかそういうの、ものじゃないからねー。うん。,応答なし
旅行で、延々、おいしいものみつけてたな。,ほんとだよね
ま、あるっちゃー、あるじゃーん。,応答なし
近い、Aまで。,応答なし
うーん。,応答なし
日本人がアメリカで中国をやるっていう。これってなんかやはり、あのー、なんつったらいいのかな、非常に大変ね。要するに競争が。なんか1つ。,応答なし
何頼んだ?普通のミルクだったっけ。,応答なし
C先生は、精神分析嫌いだったね。,でもその子さーなんか
こっちの駐車場には車入らなくってー、上に上がってった方がいいの?すごいねー。,応答なし
ああ、まあなあ。,応答なし
ためなきゃいいんだけどさ。ためないわけにはいかなくて。,応答なし
ここはまずいからー、文字化しないでくださいって?,応答なし
足そんなにまだ冷えてないじゃん、なんか。,うんねー確かにその
帰るとか?,応答なし
だけどわかんないよ、そんな聞いても。きっとね。うーん。だから血の巡りが悪いからしびれるって、あるのかもしれないけどーうーん。,応答なし
うん。かわいそうなカバちゃん。ふーん、うちはゴリラが好きかな。,応答なし
か、千葉?,応答なし
そうだね、確かに。,応答なし
顔はまだ少しは雪焼けしたからちゃうかな。,もうなんかそんなん
桜蔭高校は、クラスをね、文系・理系にすら分けてないんだって。だから、学校の方針としては、広い教養を身につけてに育ってほしいみたいな感じで言ってるらしいんだけど、子どもたちが、なんか自主的に、勉強する雰囲気はあるんですかね。,応答なし
死角に入っとってさあ、で、地下街ってわーってお店並んでるやんか。,そう
モロッコ。,どこ行く?何行ってくるの、今度一緒に
グ、グラッセって言うの?何って言うの?,応答なし
何人ぐらい参加したわけ?,応答なし
関連性理論の集中講義は11月最後、締め切りだったの。,応答なし
あ、そういうのもう、わかっ、わかってるというか。,応答なし
ナッチがさあ、モー娘のナッチがあ、もういいべーとかって、すぐ。言う。,応答なし
終電?,そう、うん。でもねーもうすっごい疲れた
この和紙人形、動きがあっていいよね、これね。,応答なし
映画?,うん。でも、ああいう人いるのかな
うーん。カビとかすごそうだし。,応答なし
えー。え、それ、ウイルス倒したら、メモリまた復活するの?,応答なし
いや、わたしは、うん。,そろばん?
うんうん、で、F049が見ててー結構浮かぶもの?この部屋はこう変えたらきっと変わるとか、そういうのが。,応答なし
ユニットバスって許せる派?,応答なし
鳥羽、またこっちまで行かないかんやん。,あーっと思ったけど
うん。でも朝からやるとね、1000円なんだー。,応答なし
してくれますよ。,応答なし
絶対これアルバイト料もらえない。,だって、そんなにお金がないんだもん
ありがち。,ほんとにすごいなーと思うよねえ、私もやっぱ
うん、そっか。,応答なし
赤いかな。どうしよう。無臭だよね。,応答なし
でも、何かイギリス人は子どもも紅茶を飲むのかなーとかさ、だったら大丈夫かなとかさ。,そう
ラフランスと生ハムの組み合わせって、変だよね。,応答なし
そら、安いのはマウンテンだろうがロードだろうが、そ、それなりの。,そう
ああー。べつにそんな、いいパーツが入ってるわけじゃないけど、やっぱりブレーキには、ブレーキはいいパーツ使っ。,応答なし
そっかー。じゃ、友だち呼んで、お鍋パーティすればいい。,応答なし
なんで?,応答なし
抜かれた。あっさり。,応答なし
うーん。,あ、それいいなと思ったんだけどねえ、「es
酒飲んでるかー。うん。え、J君ってさ、2年の予定で行ったの?それとも、別に予定はなかったのかな。,応答なし
フランスでいろんなところぐるぐるしたことおぼえてる。,応答なし
日本人だってね。,応答なし
あげる。,でさ、なんかもうその日は
わかんない。日本史だったけど。,うん、たぶんその人すごいお
いやいや。,うん、なんかそういう感じの人なんだっていう
日本語教育の現場って、普通は新卒は採らないじゃない、経験者じゃないと。東京では新卒でも、履歴書出すと結構採ってもらえたりするとかっていって、もちろん非常勤なんだけど。,応答なし
営業とかよりはね。営業やるんだったら広報やってみたいなと思うけど、やっぱり。,応答なし
そうですね。,応答なし
あーっていう感じ?。,応答なし
ちょっと、っていうか、微妙だよね、この「KISSOFLIFE」と「PointofNoReturn」とこの「情熱」の割合。で、これ16曲ぐらい入れてんの。最後のw−inds連続して入ってー。,応答なし
なんで、自分でかければいい話やん。,応答なし
。うん。それしかわからない。自分がほら、行く場所しかわからない。,い
Nと?,応答なし
してから。,だから、私もそう思ってたんですけどねえーと思ってま
だめだよー。,でも、それぐらいやった方がいいと思うよねえ
絵葉書教室って、若い人も来とるの?おじさん、おばさんばっかり?,応答なし
うん。結構重いよね、あの着物。帯とか。,応答なし
軽そうなのに。,まあね、私もそうだけどさーお
わかるけど。,だから、そのさんはそういうのができないとかっていうこともある
今9時20分。,うん、ほんとに早いよねー君はさ
そうそうそう、んで、おばかだしね。,応答なし
どこ?,応答なし
もう飽きた?すき家ならあるけど。,応答なし
あたし、砂肝が好き。,そうかあーと思っちゃうよねえ
実は婿入りだと思うんだけど。ほんとのカバもそのとき見にいったけど、なんか、どこ吹く風って感じで、何してんだろう、座ってたけど。,応答なし
すっごくいっぱいあるね。うん。すごくいっぱいあるよ。うん。古いのいっぱいありそうだよね。あそこね。,応答なし
うん。でもね、彼の仕事の都合で全然うん。動く可能性は高い。10、11、12ってすごい忙しい時期だから。そこで結婚式やると、会社の人にも大変迷惑をかけるので。,そう
ここは前の昔の、昔のうちとはまた違うとこなの?それも。,応答なし
あ、そやったっけ?,応答なし
うん、うん、よくわかんないけど。,でも私ねーやっぱり
わたしはさー、学部卒業って言っても、まだ学業は続くんだったじゃん。,そうな
ハロウィンはカンパリスプモーニちゃんやるからー、仮装、年末のときはチンザンレモネードにしようかな。,応答なし
うーん。,私も何かお酒飲んで、もう飲まないよって言って
先生が変わってたとか。,応答なし
それはほら、持ってくからさ、あの韓国の女の子にも着せてあげて。,応答なし
うんうん。,そっかー、そうですか?それはね
ありますよ。,あ、ほんとですか?今度行く
1番か、エッセンスバターか、トマトソースか。,え
ああ、そう。,ふーんってなるかもしんないけどねえ
ソリティア裏技とか書いてあるし。,応答なし
粉がふくわけですか。,応答なし
データなしで書くか。大学とかで取ってもしょうがないし。,応答なし
何回でも願いがかなう棒とか。,あ、それはありかもねー
でしょう?,あ、そう。Cさんとってるんじゃ
だれが大葉嫌いなんだっけ。,応答なし
ガーン。マジで?,応答なし
うん。変わってるね。え、ベストフレンドにそんな、嫌な話言うかー?,応答なし
だれの帽子?帽子が1つ。,応答なし
うん、でも楽だよ。,応答なし
働きながら勉強するってこと?,応答なし
何が?,応答なし
両方あると思う。,応答なし
あー、気持ち悪い。,でもさすがにねえ2人とも結
えっ、きれいですかー。,応答なし
キムチ鍋ってチゲなべってことでしょう。,応答なし
そうなんだ。え、じゃあ、専業主婦願望もあるのかなー。そういうわけではない?,応答なし
すごい顔がタイプな人がいたけど、女の子慣れしすぎてて、これじゃないと思って。,応答なし
違う。,応答なし
Cと、Mさんなんでしょう。,応答なし
エコール・ド・なんとかってあるねー。,応答なし
なんかさ、大みそかにオールナイト行きたいねー。,応答なし
そ、そ、そ、そ、そう。うん。,応答なし
どういうとこに気を遣ってるんですか?,応答なし
あ、あれじゃない?季節だ、季節。冬?,応答なし
年末、十日ぐらい行ってたから。んで、ま、それ行くにあたっては、Oの方から、いやほとほと自分もこんなことになると思ってなかったんでー、悪いけど、何か頭を下げられたっていうとこがあるのね。,応答なし
うんうん。うんうんうん。でもあれは半分ビジネストリップのつきそいで。,応答なし
留学時代行ってた大学自体は寮から、めちゃめちゃ遠いかった。,応答なし
E短。E。あっ、いいわ。,うんそうだねーきっとわかる
もうわかんないでしょう。はんでとべしってなんだろうと思うでしょう、これ。,応答なし
そろそろですね。結構早いですね。,応答なし
何、68とか?まじどんぴしゃ?当たった。68かあ。あれ、大学時代って65とかだったっけ?,応答なし
あ、そうだ、つきみ野とか、あとなんだ、つくし野とか。,応答なし
ええっと、今まで行ったのはー、えーとー。タイとー、マレーシアとー。,応答なし
ブイヤベースね、ほんと凝ったっていうか、1回食べて感激した。,そう
でも、そうか、そういうのってあったのか。,応答なし
あとで聞いてみる?,応答なし
。日本語教育で話してもね、そういう関連性理論とかやってる人、ほとんどいませんからね。,応答なし
台湾だったと思います、中国に語学留学行ったときは。,へえーっていう感じで
なんかマウス使って書いたりするやつ。,そうだよねー、でもさっき
5時間て、2人で2500円にしかならんじゃん。違うよ、1人だよ。,応答なし
くしもんは出てこんかったしさー、少ないのにさー、1人5000円たっけーなーと思ってさー、でもなんかあすこ飲み物がいっぱい出てきてー、ビールとか、なんかウーロン茶とかさー。ウーロン茶頼むとボトルごと出てくるの。,応答なし
それ、280円ぐらいじゃない。,応答なし
押さえとこっか?,応答なし
報奨金がつくし。,応答なし
神奈川、横浜なんですけど。,応答なし
うーん。でもやっぱ言えないよね。,もう、その辺の
そうそうそうそうそうそうそうそうそう。,なんで?
でもあったら食べるかもしれない。,あったっけねー?だ
え?あれちゃう。あれは、ママが何かだれやらにもろたてゆうて持ってきはったやつやで。デンドロのようなもんやて。,応答なし
