発話者2,応答者2,対話行為,対話行為2,感情
お兄ちゃんが使ってるやつ、あれどこだっけ、ＮＥＣだった？,パソコン？,質問(YesNo),質問(YesNo),驚き
ノートパソコンの方が高いんだよ、デスクトップより。,そうだっけ。,質問(YesNo),質問(YesNo),驚き
そうだ、聞いてよ。うち昨日は掃除してたじゃん。そろばんが出てきたのよ。いらないからってそろばん捨てちゃったらお母さんが大激怒しちゃってさ。,何かあるんじゃない？思い出が。,質問(YesNo),質問(YesNo),驚き
トヨタ自動車も、外国から来た人たちに教えてるんだけど。うちの海外技術者研修センターで、研修を受けて行った人と、何にも国でも何にもやらないで来た人が一緒に実習するんだって。それで何かＡＯＴＳみたいなところで実習、あの、日本語勉強した人は多少わかるんだけど、初めて来た人は全然わかんないから、その差を埋めるために、また企業が雇ったみたい。うん。,今、え、トヨタ自動車に行ってるんですか。,質問(YesNo),質問(YesNo),驚き
ううん、あたしはそのＡＯＴＳっていう海外技術者研修センター。,そういうトヨタさんみたいなとこでも、そういうふうに雇ったりとかしてますか。,質問(YesNo),質問(YesNo),驚き
え、何？,ここは独り言ですか。あ、つかったーとか。。でも何かあんな中身でよかったんですかね。,質問(YesNo),応答(平叙),驚き
赤ちゃんって出産のとき、頭の骨が重なるじゃん、ちっちゃくなるように。それをしすぎちゃって、長い間。２４時間産道にいたからこれがぐわあって伸びて。,え、そのままんなっちゃうんですか。,質問(YesNo),質問(YesNo),驚き
先生が赤ちゃん引っこ抜くときに、引っこ抜けなくって、もうしょうがないから手を突っ込んでガッて出したんだって。そしたら赤ちゃんのここがき、すり傷になっちゃって。,かわいそう。何か大変ですね、お産の時間が２４時間かかったなんて。ずっとですか。,質問(YesNo),自己開示,驚き
ちょっと納豆発酵させるからーとか言って納豆手作りしだしたらやばいよね。,納豆菌ですか。,質問(YesNo),質問(YesNo),驚き
ユッケは生肉のさ、味づけしてあってさ、卵黄がボトンって置いてあったやつ。知らない？,生肉を食べるんですか。え？焼かずに。,質問(YesNo),質問(YesNo),驚き
でもなってるとしたら、もうなってるって言ってたよ。,あ、そうなんですか。,質問(YesNo),質問(YesNo),驚き
今安いじゃんね。牛肉売れなくて。じゃあ食べた方が得だよとかって言ってた。,今牛肉食べるのやめたから人体に影響はないって感じでもないですよね、ほんと。,質問(YesNo),質問(YesNo),驚き
みたいだって。,死んじゃうんですか、ほんとにあれは。,質問(YesNo),質問(YesNo),驚き
何これ、え。,え、００番もいるの？,質問(YesNo),質問(YesNo),驚き
とら、それか仮って書いてあるのがあってたんでそのまま取ってたか。,いますか。,質問(YesNo),質問(YesNo),驚き
ヤマダ電機知らない？どこら辺の会社なのか知らないけどー、とりあえず名古屋では、まあまあ、知られてる。,えっ、チェーン店なの。,質問(YesNo),質問(YesNo),驚き
先生、午前中は体調不良だったけど、午後からは出ますとか言ってたけど。,風邪？,質問(YesNo),質問(YesNo),驚き
え、で、だってさあ、,飛行機代が？,質問(YesNo),質問(YesNo),驚き
グアムは、アメリカって感じではない。,ふーん。なんか南の島って感じ？,質問(YesNo),あいづち,驚き
昨日行ったご飯屋さんはね、へんなレンタル屋さんの隣のお店。,Ｂ屋の近く？Ｂ屋？,質問(YesNo),質問(YesNo),驚き
うちのいとこさー、ハイオクなんだよね。あなたが乗ってる同じ車種で。,ハイオクの方がいいのかな。,質問(YesNo),質問(YesNo),驚き
そう？,情けなすぎる。こっちあるかもしんない、探してみよー。つーかさ、途切れるといかんのじゃない？これって。,質問(YesNo),応答(平叙),驚き
トランプの非ソリティアって、非。,ひ？ひ？,質問(YesNo),質問(YesNo),驚き
かな。,これ？,質問(YesNo),質問(YesNo),驚き
名古屋ってSEみたいな仕事ないじゃん。,そーお？東京の方がやっぱりあるってこと？,質問(YesNo),質問(YesNo),驚き
大阪なんか企業が大きそうじゃない？,ふーん、そうなの？,質問(YesNo),質問(YesNo),驚き
うちの会社でもー、やっぱり名古屋は、なんか、,ないって？,質問(YesNo),質問(YesNo),驚き
なんで。,なんじゃそりゃって思うんだけどー。だってさー、そんなのさー、商売じゃないーい？,質問(YesNo),自己開示,驚き
でも今なにしてんの？,今？,質問(YesNo),質問(YesNo),驚き
教授って最初どっから始めるの？,最初の肩書きのないポストから始まるんじゃないの？,質問(YesNo),質問(YesNo),驚き
Ｂちゃんの家ってどこなの？,んー？日比野って知ってる？,質問(YesNo),あいづち,驚き
知らなーい。,知らない？,質問(YesNo),質問(YesNo),驚き
あーでもそういう感じだよねー。,ううーん。向こうはそういう感じだった？,質問(YesNo),あいづち,驚き
あーあれじゃないの。ビジョナリアムでしょう。,っていうんだ？,質問(YesNo),質問(YesNo),驚き
ミクロアドベンチャー映画があるじゃない、３Ｄで。,犬が出てくるやつ？,質問(YesNo),質問(YesNo),驚き
あれはだれがやってるの？有名な人？,画面の説明ってどんなこと言われたっけ。,質問(YesNo),質問(YesNo),驚き
アトラクション始まる前に、皆さん安全のためにこの安全コードをしてくださいって話す人って、全然知らない人？,うーん、あったかもしれない。え、それ流れるのって、別室だった？,質問(YesNo),応答(平叙),驚き
２階のとこでー？,２階かどうか、えー、１階じゃなかったー？,質問(YesNo),質問(YesNo),驚き
記憶になーい、何とか探偵って言ってたじゃん。,え、ちびっこ探偵って言ってた？,質問(YesNo),質問(YesNo),驚き
私、日本語を教えるバイトしてるんだ。,だれにー。外国人？,質問(YesNo),質問(What),驚き
私のバイト先浜松にもあるんだけど、浜松には日本語検定用のことを教えられるような大学院生とかー、そんな人がいないんだって。,えっ、あなたはその試験受かったんだっけ。,質問(YesNo),あいづち,驚き
キルフェボンってお店、浜松にあるみたいだよ。,あれっ、浜松の方ではー、いっぱいチェーン店なってるの？,質問(YesNo),質問(YesNo),驚き
キルフェボンってお店は浜松に一個しかないと思う。,１個だけ？,質問(YesNo),質問(YesNo),驚き
アクト、アクト・シティだったっけ。あの浜松の駅のこっちにキルフェボンがあると思う。,そん中に入ってる？,質問(YesNo),質問(YesNo),驚き
１人で行った。,あっ、１人で行ったんだ。,質問(YesNo),質問(YesNo),驚き
私たちが行った、フランスの教会は古そうな教会じゃなかったよ。,そうだっけ。,質問(YesNo),質問(YesNo),驚き
ペナン島で会った人覚えてる？,そ、そ、そ、そ。なんか、モハメドアリなんとかかんとかの展開じゃなかった？,質問(YesNo),応答(YesNo),驚き
旅の最後で買ったお弁当、覚えてない？,なんか葉っぱになんかあったやつ？,質問(YesNo),質問(YesNo),驚き
モンサン・ミッシェルね。ミッチェル。,人の名前だ。ふーん。あれ見てみたいな。見た？,質問(YesNo),自己開示,驚き
自然が残されてるところもさ、世界遺産に登録されてるよね。人が作ったっていうことじゃなくてさ自然だけのところ。,グランドキャニオンとかそういうとこ？,質問(YesNo),質問(YesNo),驚き
グランドキャニオンとかあと、なんだっけ、北海道の方のさ、沼地も世界遺産に登録されてるよね。,あっ、そうなの？そうなの。入ってるの？,質問(YesNo),質問(YesNo),驚き
学部の。,卒業旅行？,質問(YesNo),質問(YesNo),驚き
うん、なんていうんだっけ、あれ。,ケーブルカー？,質問(YesNo),質問(YesNo),驚き
ケーブルカー。ケーブルカーとちょっと違うんだなー。,ロープウェイでもなくて。,質問(YesNo),質問(YesNo),驚き
タイ行ったとき３日連続で同じもの食べたじゃーん。,それでけんかになったんだっけー。,質問(YesNo),質問(YesNo),驚き
別れる人多いんだ。,そうだねー。,質問(YesNo),自己開示,驚き
祝日の東名高速はめっちゃ警察多いよ。,そうかな。,質問(YesNo),自己開示,驚き
学校まで車で行ってるの？,ううん。違う違う。,質問(YesNo),応答(YesNo),驚き
バイクで来ても事故らんでしょ、だいじょうぶでしょ。静岡まで来たことあるでしょ。いきなりねーバイクで車で来るわけじゃないし。,バイクってやっぱ危ない？,質問(YesNo),質問(YesNo),驚き
島田の子なんだけど、とびやっててさ、大工系。,それで何、派遣みたいな。,質問(YesNo),質問(YesNo),驚き
何かそんなこと言ってた。友達が立て続けに亡くなったの。で、元彼も死んでる子なんだよ、その子。縁起でもないことがあるんだよね。,やっぱ、あるんだね。Ｈちゃん１人で、もうちゃんとやってんの？,質問(YesNo),自己開示,驚き
学会で乗っていこうって車がね、普通のお父さんが乗るみたいな車で。,うんうん、セダン？,質問(YesNo),質問(YesNo),驚き
え？,今は静かなんですか。,質問(YesNo),質問(YesNo),驚き
そうよ。だからね、Ｂさんとね、あなたあんまり高いとかって、編んだら、損しちゃうね。それが今ごろわかったの。,でも、お材料も今お高いでしょう？,質問(YesNo),質問(YesNo),驚き
きょ、恐怖にとらわれてね。そ、夏、あの、春ごろそうだったもん。だってね、私のいとこが一回り上でね、津田を出てね、あのロンドンやなんか長く生活、三菱商事で、長くいた人がね、ハイウェイパトロールね、さん、おもしろいわね、いう人なのよ。一回り上なの。まだ亡くなったって話聞かないから。百いくつじゃないの、あー恐ろしや恐ろしや。,お元気なの？,質問(YesNo),質問(YesNo),驚き
補聴器って高いのよーってね。,うん十万円ですって？,質問(YesNo),質問(YesNo),驚き
ジュベルニはねモネの生家があるとこなんです。,ああ、あの橋があるところ？,質問(YesNo),質問(YesNo),驚き
私ね、アレルギー体質だけど、犬飼ってるけど、犬のアレルギーはないの。それからね、杉もないの。ダニとほこり。,ほこり？,質問(YesNo),質問(YesNo),驚き
私の父が死んだときね、ええと８６歳、,ええ、でも大丈夫でした？,質問(YesNo),質問(YesNo),驚き
うーん。男の人にも更年期あるっていうからさあ。,うーん。,質問(YesNo),フィラー,驚き
槇原、痛風だったんだって。,それで引退？,質問(YesNo),質問(YesNo),驚き
わたし、歳はＳさんと同じぐらいかなあ。６５か６か。,あ、そうですか。,質問(YesNo),あいづち,驚き
和光大学。わ、和光っていうのは、あの、埼玉かと思ったら違った。埼玉県に和光市っていうとこがあるから、あそこかと思ったら違うんですよね。町田市、和光大学。,和光大学ってありますよね。町田にあるんですか。,質問(YesNo),確認,驚き
あの人が一番、Ｌ大では第１号の博士論文を書く人。,あの、あれ、彼女は？Ｂ２さんは？,質問(YesNo),質問(YesNo),驚き
新しい学部を作ろうとすると文部省が、留学生はどうしますかって。もともと入れるつもりなく作ったのに、３０人留学生を入れることになって。そしたらてんやわんやで。,今うまくいってるんですか。まだ大変ですか。,質問(YesNo),質問(YesNo),驚き
学部創設して今でも大変です。あの、人間関係がね。,ああ、そうですか。,質問(YesNo),あいづち,驚き
Ｋ３先生なんかも１期生とかそういうあれですか。,いや、Ｋ３先生は。どちらの先生？Ｌ３子先生？,質問(YesNo),応答(平叙),驚き
ですかね。,後任は見つかりそうですか、Ｒ２先生の。難しい？,質問(YesNo),質問(YesNo),驚き
ええ。,２０００人近いでしょう？,質問(YesNo),質問(YesNo),驚き
アメリカの大学だと、なにか１つポストがあるっていうときには、絶対日本人はもう一番最後になっちゃう。もうアメリカ人がいればアメリカ人だし。,うん。日本に帰ってこないの？帰ってくんでしょう。来ないの？向こうにいるつもりなの？,質問(YesNo),あいづち,驚き
息子がなんで中国がそんなに好きなのかっていうのは我々の夫婦の影響よ。,あなたの息子はもう中国に行ったわけ？例のフィールドワークで。中国には行ったことあるわけ。まだないの？,質問(YesNo),質問(YesNo),驚き
息子は、今度は中国に１月とか、それから中国語を勉強するためにってんでアメリカに行った２年後だったかに夏は７週間ぐらい行きましたね。,どこに行ったの？北京？,質問(YesNo),質問(What),驚き
語学留学の時はどこに留学行ったんだっけな。,田舎？,質問(YesNo),質問(YesNo),驚き
わたしなんかもうアメリカ行ったときに、外交官もいたんだけど、その外交官、真っ赤なワゴンに乗ってる。あれが外交官かね。日本の将来任せられないよって主人と言ってたの。,キャリア組？,質問(YesNo),質問(YesNo),驚き
イルミネーション瞬く夜空クリスマスって俳句は札幌行ったときに書いた俳句？違うかしら。札幌のイルミネーションがすごいきれいなんだけど。,札幌？,質問(YesNo),質問(YesNo),驚き
えっ、このテレビに出てる人の国籍は？,うーん、国籍はねー、ラトビア共和国生まれ。てなってるけど。ユダヤ人なんじゃない？,質問(YesNo),応答(平叙),驚き
ねえ、あのさ、ＡＮＡだったよね。１万円のさ、チケット売り出してたんでしょう、２５日に。あれどういうシステム？,２５日。なんか誕生日じゃなくて？,質問(YesNo),自己開示,驚き
ANAが飛行機のチケットのセールで、どこまで行っても１万円とか言っててー。それは片道１万っていうことかな？,そうじゃない？,質問(YesNo),質問(YesNo),驚き
うん？全部って？,映画によって別に違うわけではないんだ。,質問(YesNo),質問(YesNo),驚き
例えばさ、最近でも、あっ、ごめん、あたっちゃった。最近でもないんだけど、ほら、常盤貴子が出ててー、で、あとさ。,かば、かばちたれー？,質問(YesNo),質問(YesNo),驚き
幼なじみとして。同じデパートで働いてた。,デパートだったっけ。,質問(YesNo),質問(YesNo),驚き
ねえ、フレンズってさー、おもしろいと思わなかった？,フレンズ？,質問(YesNo),質問(YesNo),驚き
あれ、アメリカの、あれ？あれ、アメリカかな？アメリカじゃなかったかな。,イギリス？,質問(YesNo),質問(YesNo),驚き
フレンズって番組は、独身男女５人ぐらい。５〜６人出てくるやつでー、もろコメディで、なんか共同生活してるの、ある、アパートの一室を借りて。,一室で？,質問(YesNo),質問(YesNo),驚き
フランスで放映されてたアメリカのドラマなんだけど、女の子がやっぱり主人公で、その子は、ドラキュラなの。,ドラキュラ？,質問(YesNo),質問(YesNo),驚き
あっ、ぶーふぃーってやつ、今でもスカパーでやってんの。ふーん。,なんかー、あのドラキュラの話でしょう？,質問(YesNo),質問(YesNo),驚き
主人公の女の子ってちっちゃくて細い子がアメリカとかでもうけるんだと思ったら、なんかびっくりして。,前は違ったんだっけー？,質問(YesNo),質問(YesNo),驚き
チャーリーエンジェル？わかんない。,あっ、ちょっと古すぎた？,質問(YesNo),質問(YesNo),驚き
あっ、本当？,あんまり？,質問(YesNo),質問(YesNo),驚き
なんか固まっとる、砂糖やね。ガリガリっていったよ。これ何だろ。,甘い？,質問(YesNo),質問(YesNo),驚き
絵の具固まってしまってるの、溶けんかった？,うん。だって絵の具って、もう、固まったら、もうどうしようもないでしょう？,質問(YesNo),応答(YesNo),驚き
狂牛病は日本で出たから、きっとそのうち韓国でも、そんなんいっぱい出るんじゃないっちゅう話だよ。うん。,だけど、一番それ、いろいろ牛、牛なんかもいるやろう、そこのオーストラリアは。ところが、出てないっていう、こないだ、なぜって書いてあったでしょう？,質問(YesNo),自己開示,驚き
私、大学１年のころの体重と今の体重とね、ゆうに１０キロ違うよ。ほんとに。,大学時代に太ったってこと？,質問(YesNo),質問(YesNo),驚き
いや、中学のとき。,中学校のとき？,質問(YesNo),質問(YesNo),驚き
そう、Ｔちゃんがでかい腹して来た、ときじゃない？,それが一昨年かね？,質問(YesNo),質問(YesNo),驚き
確か、最近。,こ、これ、これとこれくっついとるんやなー。そんでいくらっちゅうことでしょう、１枚が。どうして作るんやろ。日本でもあった、そんなの？,質問(YesNo),自己開示,驚き
何か最近できたって書いてあったような気がしたけど。,そんな自分の顔で？,質問(YesNo),質問(YesNo),驚き
違う違う違う違う。,ま、親切に。半分食べたの？,質問(YesNo),自己開示,驚き
あのね、宿をホテルじゃなくて旅館にするとね。,高いの、かえって？,質問(YesNo),質問(YesNo),驚き
国際ホテルって名前やけど、あれ何で国際か、ようわからん。どう国際なんか、ようわからん。,一応ホテル？ホテル？,質問(YesNo),質問(YesNo),驚き
どっから？,坂戸の可児高の辺のとこから帷子行くんやろ？,質問(YesNo),質問(YesNo),驚き
たぶん、そこの、こう行って行って、じゃあ、せまい踏切があって、こっち言って。,それは越えなあかんでしょう？,質問(YesNo),質問(YesNo),驚き
私が運転してるときに、Ｙちゃんも乗ったのよ。Ｙちゃん私の運転で乗った、唯一の人やもん。,そのとき１回だけ運転しただけ？,質問(YesNo),質問(YesNo),驚き
どういうこと？,あ、自分で運転したの、そのとき？,質問(YesNo),質問(YesNo),驚き
運転で、道が狭くなってるところは、１回は越えたことある、私。,あそこは割合せまいもんで、駅の踏切は別に、信号からこっち曲がったとこでしょう？,質問(YesNo),質問(YesNo),驚き
電話が来ないってことは、よっぽど何があったかね。,ね。,質問(YesNo),あいづち,驚き
図書館ってさ、分館の本とかって借りれるの？,分館？,質問(YesNo),質問(YesNo),驚き
私が読みたい本って何やったっけ。,それ、コンピュータの本？,質問(YesNo),質問(YesNo),驚き
私が読みた本が出たのは、最近かなー、去年ぐらいかなー。,何を珍しくあなたが読もうと思ったのがあったの？,質問(YesNo),質問(YesNo),驚き
棚、組み立てられましたよ。なんかね、あのー、なんて言うんだろう、こう、回す、組み立てるなんか。,何、ドライバー？,質問(YesNo),質問(YesNo),驚き
先生に会うのは授業の２回ですね。,研究会に自分の研究についてのなんかやってくれるの？,質問(YesNo),質問(YesNo),驚き
研究会出席する人数はばらばらですね。すごい少ないときもあるしー、そうでないときもあるし。,なんか遠くからも来るんでしょう。,質問(YesNo),質問(YesNo),驚き
これ？なんか業者の人が、テープ起こしをしてくださって、、チェックされると。,へー。これ、名前は出てるんですか。名前出るんですか。,質問(YesNo),質問(YesNo),驚き
他のワイドナショーはやらないの、芸能ニュースとかは。,いや、そんなにやらない。,質問(YesNo),応答(平叙),驚き
昨日、Ｅさんがさ、評価論のインタビュー、３時からやってて、みんな集まって時間外にやってたから、「ちびまるこ」が見れないって言って、すごい怒ってた。,Ｅさん、ファンなの？,質問(YesNo),質問(YesNo),驚き
土日とかすっごい寝てる。,出かけないの？,質問(YesNo),質問(YesNo),驚き
京都の方が住んでるところが狭かったのに家賃は高かった。なんといってもでも、やっぱり礼金、敷金が違うんですよ。あと、更新料も絶対ついてくるし。,ああそうなんだ。４年間同じとこにいるの？,質問(YesNo),あいづち,驚き
ふーん。またふーんって言ってる。カウント３ぐらいだわ。,ここって新しいの？,質問(YesNo),質問(YesNo),驚き
個々の通りはカフェ系が多いよね。,あのバリューハウスも新しい？,質問(YesNo),質問(YesNo),驚き
ベーグルってやっぱりさ、普通のパンと違うよね。,うん、うん,質問(YesNo),あいづち,驚き
韓国は３月でも寒いんじゃない？って言ってたんだけど、私が行ったときはぽっかぽかでさー。,本当。そうなんだ、ソウル初めて？,質問(YesNo),あいづち,驚き
私がフランスに行ったの、だって１０年前だもん。,あれ、何だっけ、旅行じゃなくってー、ホームステイとかそういうやつ？,質問(YesNo),質問(YesNo),驚き
前、会ったのは、何月だったっけ、８月？,８月だったっけ。,質問(YesNo),質問(YesNo),驚き
森林公園の近くの、テニススクールってところがあってさ、インドアでさ、それがよかったんだけど。,じゃあ、会社の近く？,質問(YesNo),質問(YesNo),驚き
うん、母親。,お父さんは。,質問(YesNo),質問(YesNo),驚き
うん、そう、今までね、あの、Ａ学科で働いてたから。,そうなんだ。１０月から？,質問(YesNo),あいづち,驚き
日本語教師やってた人が、日本語教師ってお金にならないんだ、食べてけないんですもーんって。,って言ってた？,質問(YesNo),質問(YesNo),驚き
え？,ちょっともう１回いい？,質問(YesNo),質問(YesNo),驚き
後日にして。入ってますかー。で。,うん。あ、そうこれね、謝礼を出してくれるんだって。時給円なんだけど。出てからでいいよね。,質問(YesNo),あいづち,驚き
友達のー会社の人のフランス人の夫婦の子どものベビーシッターしたんだよね。,へー、何、フランス語でやっぱり話しかけんの？,質問(YesNo),質問(YesNo),驚き
私の知り合いの人はベビーシッターさんに子供見てもらってたの。でもベビーシッターって最初から、保険がついてるみたい。,保険？,質問(YesNo),質問(YesNo),驚き
え？,違う？,質問(YesNo),質問(YesNo),驚き
工事が終わったら、めでたく開通するんじゃないですか。え、昔って、ちゃんとこっちから曲がってたよねー。,これってさ、いわゆる産業道路っていったやつ？,質問(YesNo),質問(YesNo),驚き
え？わかんない。これだよね、これ３０２だよね。,うん、３０２。高速使ってどっか行ったりする？,質問(YesNo),応答(平叙),驚き
なんだっけ、東海市の方にあるジャスコってすごいんでしょ、それこそアメリカのモールみたいなさ、でかさ。,へー、東海市？,質問(YesNo),質問(YesNo),驚き
東海市にできたジャスコがすっごい大きいらしいよ。,へー、そうなんだ。,質問(YesNo),あいづち,驚き
こっから見るともっと北の方にある、ダイエーの大きいところ行ったことない？,ない。この道沿い？,質問(YesNo),応答(平叙),驚き
ハリーポッターの本の「賢者の石」を映画にしてるんじゃないの？,そうなんだ、なんかすごいヒットしてるんでしょ？,質問(YesNo),質問(YesNo),驚き
ここまで２０分ぐらいかかったんじゃない？,２０分ぐらい？,質問(YesNo),質問(YesNo),驚き
電通論文ていうのは、な電通に出すなんかあんだよ、その、広告に関しての。,当たると何がもらえんの？,質問(YesNo),質問(YesNo),驚き
知らなーい。,電通に入れんの？,質問(YesNo),質問(YesNo),驚き
この付近にスキー場ない？,このって、名古屋の？,質問(YesNo),質問(YesNo),驚き
この辺、スキー場、あるーかもしれん。だってＣＭやっているじゃん。,中山きんにくんが？　,質問(YesNo),質問(YesNo),驚き
まちがってない。,だって、今すごい一番人気があんのは中学生ぐらいでしょう。,質問(YesNo),質問(YesNo),驚き
ばかか、あんな女の。,小学生の高学年から高校生ぐらいでしょう。,質問(YesNo),質問(YesNo),驚き
もう、なんで大体「ちびまる子ちゃん」なんてやんのよ。,ええ、４時からじゃなかった？,質問(YesNo),質問(YesNo),驚き
ＤＤ工。,工業出た人ってどこ就職すんの、みんな。工場系？,質問(YesNo),質問(What),驚き
あれっ？まだ、あれ？,M033、２３でしょう。,質問(YesNo),質問(YesNo),驚き
あれ、まだ。,あれっ、違う？,質問(YesNo),質問(YesNo),驚き
あっ、今度の２月で２３だ、Ｃっぺは。２月２２日ね。ぞろ目。Ｘｂｏｘの発売日。,が誕生日？,質問(YesNo),質問(YesNo),驚き
夏に生まれた冬に生まれたで、子どもの賢さが違うって言うじゃん。,あー、冬生まれって頭いいんでしょう。,質問(YesNo),質問(YesNo),驚き
赤ちゃんのＩＱはね、親が笑いかけたのと比例するんだよ。,まじで？それ、だれに聞いたの？,質問(YesNo),確認,驚き
えー、ビデオがガシャガシャってなるみたいになんか音が鳴ったよ。,鳴った？,質問(YesNo),質問(YesNo),驚き
手作りの石けんとかは。,手作りの石けん？,質問(YesNo),質問(YesNo),驚き
きっと、その中には虫歯の人もいるわけよ。チョコレートがこの、歯と歯のこのすき間とかに入っちゃって、それで、こう。,じゃあじゃあじゃあ、ねえねえ、マドレーヌは？,質問(YesNo),質問(YesNo),驚き
普通みんなそうでしょう。,ふわふわの、あるでしょ。マドレーヌ知らないの。,質問(YesNo),質問(YesNo),驚き
パチンコ。,パチンコ行かないでしょう。Ｉちゃんはパチンコやんないでしょう。,質問(YesNo),質問(YesNo),驚き
何。,来年の４月まで、痛い、いったい。もう、そ、お金足りないでしょう、それじゃあ。,質問(YesNo),自己開示,驚き
